"","TOTAL_READS","PF_READS_ALIGNED","PF_HQ_ALIGNED_READS","PCT_CHIMERAS","CODING_BASES","MEDIAN_CV_COVERAGE","MEDIAN_5PRIME_BIAS","MEDIAN_3PRIME_BIAS","MEDIAN_5PRIME_TO_3PRIME_BIAS","AT_Dropout","GC_Dropout","Read_Pair_Duplicates","Read_Pair_Optical_Duplicates"
"PITT_RNA_PFC_787",90669552,90669552,88506793,0.012844,1429257450,0.500837,0.447756,0.779666,0.594737,4.477239,3.240679,11747857,4129337
"PITT_RNA_PFC_802",62945169,62945169,61308885,0.014168,1127138895,0.375895,0.593243,0.841624,0.70934,8.367511,1.320722,4707448,1897919
"PITT_RNA_PFC_806",62709538,62709538,61281434,0.015856,667271820,0.439194,0.464763,0.873636,0.522009,4.274414,2.363724,5477505,2219596
"PITT_RNA_PFC_818",62639792,62639792,61348521,0.024174,742496898,0.396921,0.506092,0.870852,0.601952,5.677316,0.868564,3046452,1443705
"PITT_RNA_PFC_822",83718593,83718593,81897159,0.013727,1154999121,0.507307,0.385345,0.808185,0.52274,3.737642,4.630684,8596666,2974070
"PITT_RNA_PFC_829",91082160,91082160,77693034,0.010206,2521793559,0.448042,0.774663,0.751114,1.011966,41.506191,2.046478,12980498,10501667
"PITT_RNA_PFC_852",63144224,63144224,61621514,0.013732,1178663283,0.445936,0.47304,0.79387,0.62768,3.89647,2.305605,4376128,1583751
"PITT_RNA_PFC_857",85596953,85596953,82794041,0.016116,963628496,0.396623,0.647478,0.961372,0.669519,13.538504,2.764592,8290582,6039305
"PITT_RNA_PFC_902",111951869,111951869,101629052,0.009339,3635516836,0.479201,0.529878,0.772736,0.710632,25.209895,0.400176,13037837,8889401
"PITT_RNA_PFC_904",83884968,83884968,82012251,0.01634,700068893,0.451084,0.400079,0.860332,0.485689,3.409592,4.000327,2177119,771561
"PITT_RNA_PFC_917",73920886,73920886,72332627,0.014145,856434367,0.659376,0.314477,0.692821,0.45583,3.010981,5.521166,6068760,1987632
"PITT_RNA_PFC_933",71390074,71390074,68487032,0.015337,1017222105,0.362387,0.734188,0.899666,0.794113,21.21301,1.191545,6930391,5728084
"PITT_RNA_PFC_970",59390630,59390630,57803387,0.021703,461087061,0.387075,0.668431,0.867406,0.748785,5.564029,1.121702,1722898,668897
"PITT_RNA_PFC_987",102836734,102836734,100315417,0.016168,1326664244,0.392643,0.615662,0.857954,0.705667,5.205542,2.012693,6565757,2615575
"PITT_RNA_PFC_988",58794343,58794343,57453021,0.01169,1142632764,0.483512,0.427413,0.790218,0.552017,3.609645,3.174967,3219052,1109090
