"","TOTAL_READS","PF_READS_ALIGNED","PF_HQ_ALIGNED_READS","PCT_CHIMERAS","CODING_BASES","MEDIAN_CV_COVERAGE","MEDIAN_5PRIME_BIAS","MEDIAN_3PRIME_BIAS","MEDIAN_5PRIME_TO_3PRIME_BIAS","AT_Dropout","GC_Dropout","Read_Pair_Duplicates","Read_Pair_Optical_Duplicates"
"MSSM_RNA_PFC_196",66016402,66016402,64546947,0.017011,532503916,0.510501,0.340204,0.787239,0.477167,3.391935,3.65556,6883385,2329851
"MSSM_RNA_PFC_197",86381682,86381682,84092005,0.015755,1191026181,0.42393,0.603183,0.950921,0.577086,8.80546,1.135142,5284531,2859106
"MSSM_RNA_PFC_1",61235015,61235015,59720219,0.018732,597648221,0.437143,0.421329,0.837731,0.505231,3.522753,3.770584,2631152,1106753
"MSSM_RNA_PFC_200",75289565,75289565,73199020,0.014142,1097532518,0.604024,0.41742,0.721934,0.582954,3.555258,4.122321,3459807,1273601
"MSSM_RNA_PFC_201",89633226,89633226,87460708,0.015796,899019451,0.415532,0.480451,0.890425,0.563694,4.193033,4.107879,4194269,1875548
"MSSM_RNA_PFC_202",123609303,123609303,118916972,0.013611,2115737915,0.386218,0.696748,0.836759,0.839269,15.574298,0.670061,8829938,5626592
"MSSM_RNA_PFC_204",66585053,66585053,64818450,0.015086,652872516,0.43748,0.436895,0.835654,0.575,6.015256,5.335421,3511437,1566499
"MSSM_RNA_PFC_205",64618775,64618775,63160034,0.015114,563725346,0.447669,0.397173,0.937209,0.422337,4.363219,4.576777,3112541,1284897
"MSSM_RNA_PFC_208",67018252,67018252,65239164,0.01819,636528395,0.409859,0.531711,0.871458,0.622081,6.215727,1.717447,2369358,1655393
"MSSM_RNA_PFC_209",86736597,86736597,83971746,0.017715,1021146782,0.402022,0.583924,0.845384,0.715269,11.591543,0.118928,3363449,2386372
"MSSM_RNA_PFC_20",70744938,70744938,68593899,0.016926,643377036,0.519055,0.445228,0.743508,0.583133,4.073732,3.982455,4111774,1763553
"MSSM_RNA_PFC_210",59396308,59396308,57520023,0.027385,391680494,0.418633,0.559745,0.822219,0.693353,7.565361,0.896019,2274306,1516694
"MSSM_RNA_PFC_211",69424588,69424588,66879219,0.016233,826681093,0.606983,0.47846,0.680147,0.700897,4.385918,2.040312,13630520,5276066
"MSSM_RNA_PFC_212",49897493,49897493,48753335,0.016445,353289858,0.445221,0.397692,0.752461,0.546485,3.883568,2.153667,1523771,763793
"MSSM_RNA_PFC_220",52379046,52379046,50293230,0.019082,378024934,0.435252,0.525094,0.773237,0.665201,7.003096,1.995967,1935862,1232315
"MSSM_RNA_PFC_221",79961814,79961814,78009429,0.019146,637535672,0.422102,0.453805,0.91579,0.513744,3.881468,3.653798,2569361,1181923
"MSSM_RNA_PFC_223",77660200,77660200,75397810,0.016452,847991606,0.426573,0.504217,0.836256,0.606512,8.470565,1.338221,3879338,2565624
"MSSM_RNA_PFC_226",59313119,59313119,57646363,0.012788,619144747,0.574426,0.470291,0.720255,0.670003,4.3308,3.080528,9054031,3285172
"MSSM_RNA_PFC_228",82025160,82025160,78675135,0.024818,609420980,0.400547,0.596302,0.846178,0.69905,9.012593,1.625664,3862582,2385882
"MSSM_RNA_PFC_229",107819099,107819099,104833367,0.017217,1285628384,0.419879,0.550489,0.833993,0.662938,6.15412,1.28614,4216064,2173901
"MSSM_RNA_PFC_22",65940389,65940389,64362211,0.015768,650245389,0.426652,0.448705,0.902854,0.488558,5.156911,4.912704,2559178,1271326
"MSSM_RNA_PFC_230",84652369,84652369,82546601,0.012786,1220852443,0.654098,0.341551,0.677459,0.525243,3.373987,5.500959,4667264,1756149
"MSSM_RNA_PFC_231",67989116,67989116,66159568,0.013514,1118041729,0.45523,0.482649,0.782179,0.637908,3.911505,3.469455,4254683,1612925
"MSSM_RNA_PFC_232",51772756,51772756,50187269,0.016293,661493211,0.377151,0.603349,0.915311,0.651104,14.603624,2.041512,4585475,3550369
"MSSM_RNA_PFC_233",70980336,70980336,69521446,0.014249,679873289,0.450488,0.386741,0.889816,0.4248,4.840198,5.338658,5620290,1928901
"MSSM_RNA_PFC_234",54963283,54963283,53061659,0.017183,557840652,0.39348,0.575452,0.907215,0.644135,10.518529,1.648743,2646530,2012722
"MSSM_RNA_PFC_236",65548008,65548008,63840649,0.01723,1027931126,0.421694,0.577265,0.951255,0.613173,8.011021,0.918243,8026353,3378867
"MSSM_RNA_PFC_237",61692062,61692062,59981678,0.01854,679543090,0.385865,0.596635,0.932883,0.631474,9.403795,1.815286,3521669,2509831
"MSSM_RNA_PFC_238",74038792,74038792,71443324,0.016733,782325599,0.595045,0.404021,0.72992,0.546985,4.501942,4.195394,4464718,1735270
"MSSM_RNA_PFC_239",89298547,89298547,86249886,0.020192,885238642,0.492618,0.474988,0.732263,0.696993,8.178915,1.858517,8157404,4297015
"MSSM_RNA_PFC_240",58860844,58860844,56901267,0.028488,429596539,0.375494,0.647285,0.917145,0.700395,9.149514,1.491893,2811958,1617483
"MSSM_RNA_PFC_241",58742389,58742389,57339521,0.018509,443017297,0.42992,0.499249,0.865911,0.604191,4.640545,3.397878,2660515,1063431
"MSSM_RNA_PFC_242",55597430,55597430,54244979,0.014539,436189785,0.493136,0.539479,0.785279,0.676039,4.663935,3.860591,2593798,969872
"MSSM_RNA_PFC_243",64098670,64098670,62181925,0.018384,626174679,0.457833,0.476077,0.801721,0.597319,3.851335,2.003147,3229019,1500368
"MSSM_RNA_PFC_244",74941168,74941168,73213063,0.015997,918236798,0.439695,0.528367,1.044998,0.490042,5.924642,2.652791,6918962,3051882
"MSSM_RNA_PFC_245",80608063,80608063,75790571,0.014868,1738213593,0.421008,0.622644,0.787736,0.766377,18.538464,0.56081,6396539,4310689
"MSSM_RNA_PFC_246",49749319,49749319,48031922,0.017663,581471396,0.382238,0.680556,0.901371,0.735105,14.365116,1.528453,3524604,2678888
"MSSM_RNA_PFC_248",78445422,78445422,75375228,0.014634,1079583408,0.399067,0.667506,0.853745,0.774923,14.94881,1.710505,5713177,4532757
"MSSM_RNA_PFC_250",57913957,57913957,56342073,0.013314,982687730,0.424787,0.483559,0.798146,0.615231,4.458167,3.218724,4726628,1810302
"MSSM_RNA_PFC_251",89728410,89728410,86716326,0.015709,1110791379,0.458965,0.518431,0.793316,0.692857,7.765377,1.893808,4936093,3009084
"MSSM_RNA_PFC_253",79952717,79952717,77943503,0.022227,198509140,0.451831,0.465447,0.913928,0.531134,3.543896,3.09482,9464534,3183825
"MSSM_RNA_PFC_254",91530652,91530652,88131204,0.018389,989889598,0.401205,0.658266,0.841821,0.759802,7.369706,2.808787,5300568,3577111
"MSSM_RNA_PFC_255",76256860,76256860,74356311,0.017025,920444830,0.430494,0.552633,0.965292,0.579562,5.499192,2.090308,6143948,2735692
"MSSM_RNA_PFC_256",82800303,82800303,79269117,0.016923,1110299890,0.497086,0.451671,0.742183,0.632137,6.338983,2.624904,3778946,2197129
"MSSM_RNA_PFC_257",56542050,56542050,54908834,0.020209,481697985,0.516619,0.454454,0.758163,0.640802,3.759807,1.189827,4045572,1416061
"MSSM_RNA_PFC_258",80761286,80761286,77693226,0.016979,1330586773,0.441077,0.562217,0.8023,0.714298,19.656446,0.09975,4447912,3422677
"MSSM_RNA_PFC_25",68298430,68298430,66503762,0.017974,656300789,0.411954,0.589648,0.877591,0.660645,4.282713,3.325329,2521393,1216723
"MSSM_RNA_PFC_260",90429811,90429811,88148424,0.014096,923145018,0.786779,0.212447,0.641626,0.340648,4.887225,9.380971,28467729,13681453
"MSSM_RNA_PFC_261",91706108,91706108,89237148,0.014975,1058298409,0.515092,0.433538,0.785279,0.587018,4.066482,4.308202,4752393,1930853
"MSSM_RNA_PFC_262",84318448,84318448,81392158,0.016352,812298506,0.429678,0.519664,0.820129,0.644824,11.636584,1.067625,4348372,3320925
"MSSM_RNA_PFC_264",99053838,99053838,95886266,0.018701,673968456,0.456446,0.473369,0.793973,0.607826,5.098844,4.671337,4619267,2174408
"MSSM_RNA_PFC_265",76022163,76022163,73631547,0.022302,543953703,0.422773,0.567063,0.838355,0.679664,4.788832,3.27891,3223781,1452230
"MSSM_RNA_PFC_266",81469460,81469460,79152330,0.018738,800391489,0.408985,0.534866,0.881956,0.646547,7.528911,1.653407,3212012,2188259
"MSSM_RNA_PFC_268",67672943,67672943,66136573,0.015219,673661611,0.478674,0.432562,0.771358,0.541952,3.794903,4.983085,2566804,882379
"MSSM_RNA_PFC_269",55825404,55825404,54472298,0.018797,508354339,0.445979,0.550045,0.830413,0.643729,3.298807,3.177087,1667890,634057
"MSSM_RNA_PFC_26",99104450,99104450,95444902,0.014835,1316604879,0.395657,0.655563,0.849645,0.768829,12.072096,1.672525,6244084,4698904
"MSSM_RNA_PFC_270",126489488,126489488,122572420,0.015944,1193251352,0.436658,0.489575,0.831643,0.605258,7.961011,0.520605,5609256,2789910
"MSSM_RNA_PFC_271",61623660,61623660,59760267,0.018449,451138557,0.47076,0.45254,0.789881,0.567125,3.420798,3.072166,2211989,904725
"MSSM_RNA_PFC_272",61958915,61958915,60044732,0.017442,845382040,0.506414,0.526207,0.729143,0.776479,4.517175,1.747067,4680964,1692770
"MSSM_RNA_PFC_273",86780287,86780287,84358925,0.016969,1123780049,0.520344,0.409746,0.775239,0.572036,3.927579,3.949598,14837735,5748505
"MSSM_RNA_PFC_274",76630220,76630220,74617818,0.01543,960238288,0.466105,0.532763,0.780178,0.691493,3.470901,3.123238,2696141,1045091
"MSSM_RNA_PFC_276",71975846,71975846,69715529,0.015439,655000299,0.447491,0.439618,0.84407,0.544926,5.70078,3.041992,3479048,2561531
"MSSM_RNA_PFC_277",69714603,69714603,67922441,0.018421,953637541,0.375864,0.630523,0.822345,0.774989,6.190033,1.706698,3185030,1263748
"MSSM_RNA_PFC_278",83723211,83723211,79803969,0.017277,1276075838,0.462771,0.535933,0.762527,0.683028,19.294244,0.016014,3734677,2844368
"MSSM_RNA_PFC_279",56977856,56977856,55360514,0.015349,487505709,0.520222,0.42573,0.775265,0.555139,3.615823,3.046728,2423363,896912
"MSSM_RNA_PFC_280",66131621,66131621,63272114,0.016213,832028294,0.406654,0.625596,0.851852,0.725532,14.885757,2.235457,6879023,5481895
"MSSM_RNA_PFC_281",66359343,66359343,63555333,0.016957,741869012,0.409996,0.544967,0.929668,0.588932,11.943161,3.687957,5246303,4086036
"MSSM_RNA_PFC_282",38976317,38976317,37651926,0.016,524731127,0.516801,0.580891,0.726008,0.823624,9.586884,0.960587,2843591,1252957
"MSSM_RNA_PFC_284",92797857,92797857,90188025,0.017098,1027034266,0.447837,0.524398,1.006243,0.514203,6.439056,2.254869,9112815,4140731
"MSSM_RNA_PFC_286",53846398,53846398,52581032,0.016743,696647803,0.477593,0.524507,1.082197,0.476871,4.866347,1.584184,4718118,1913947
"MSSM_RNA_PFC_287",66018805,66018805,64102644,0.016254,990742581,0.414906,0.534107,0.835906,0.638924,4.232713,2.828434,3243037,1460900
"MSSM_RNA_PFC_288",92270162,92270162,88644465,0.014987,1330168687,0.484207,0.476225,0.777561,0.638991,6.054122,4.933604,13759710,5605641
"MSSM_RNA_PFC_289",75188794,75188794,72828578,0.01888,527752813,0.456652,0.423009,0.847344,0.497448,4.454019,3.891389,2493385,1159232
"MSSM_RNA_PFC_28",58249085,58249085,56794844,0.022644,141903154,0.482217,0.459193,0.8327,0.54935,5.933377,6.074888,2557877,777384
"MSSM_RNA_PFC_290",67260066,67260066,65227153,0.018041,603117267,0.402319,0.562686,0.945601,0.598117,8.383786,2.712699,3845655,2802528
"MSSM_RNA_PFC_291",73235509,73235509,71266604,0.01577,779101023,0.511367,0.468352,0.759259,0.634486,3.362422,2.675954,3664699,1300615
"MSSM_RNA_PFC_295",107530203,107530203,105255552,0.015831,1317398825,0.43964,0.522188,0.9391,0.565105,4.046485,2.273344,9104569,3171768
"MSSM_RNA_PFC_296",93956388,93956388,91451595,0.01531,840098569,0.469957,0.425188,0.945005,0.462668,6.848149,3.051916,6882781,4337733
"MSSM_RNA_PFC_297",65437302,65437302,63772555,0.014574,878492370,0.41399,0.508273,0.829759,0.602034,4.376809,3.460719,2733902,1186988
"MSSM_RNA_PFC_298",59763820,59763820,58077701,0.018212,699403921,0.399484,0.540507,0.863863,0.618938,5.691609,1.679985,1954215,1230767
"MSSM_RNA_PFC_299",57067461,57067461,54917231,0.017082,648162660,0.516219,0.393636,0.745248,0.553208,8.09745,1.418307,5803855,2849091
"MSSM_RNA_PFC_29",71426746,71426746,69123502,0.013492,1208426886,0.435217,0.595814,0.773343,0.814249,8.797308,1.412065,2931315,1556313
"MSSM_RNA_PFC_2",76041166,76041166,73996400,0.014761,1016517818,0.593256,0.430441,0.706055,0.638127,3.719298,3.413765,11238337,4036740
"MSSM_RNA_PFC_300",96108979,96108979,90153042,0.013135,1539657039,0.454462,0.587454,0.785106,0.749985,12.344373,2.926321,8066863,5617047
"MSSM_RNA_PFC_301",62276903,62276903,59423101,0.017076,739767225,0.39935,0.605177,0.884429,0.680127,18.671145,1.987548,5743765,4797454
"MSSM_RNA_PFC_302",86689074,86689074,84355595,0.016313,1221448941,0.569566,0.491621,0.708084,0.744811,3.98039,2.069194,9618137,3904529
"MSSM_RNA_PFC_303",68467343,68467343,66604056,0.01296,636108143,0.552856,0.335074,0.725566,0.507594,3.660558,4.765257,6466558,2305441
"MSSM_RNA_PFC_304",65494860,65494860,63804813,0.017748,478587787,0.490869,0.393798,0.827785,0.508901,4.513764,0.757054,12253130,4824473
"MSSM_RNA_PFC_305",104796584,104796584,100153623,0.015532,1283987029,0.442721,0.671886,0.80398,0.830233,20.175991,0.872871,8639923,7271949
"MSSM_RNA_PFC_306",94183737,94183737,90938931,0.020831,391857730,0.526217,0.370543,0.828577,0.447517,4.193022,3.528084,11835371,4672757
"MSSM_RNA_PFC_308",66310772,66310772,64429983,0.020443,442725458,0.399939,0.580105,0.909167,0.630898,4.890339,2.455287,2263577,1105766
"MSSM_RNA_PFC_309",73538920,73538920,71564640,0.013381,767811431,0.649537,0.27155,0.713382,0.378576,5.376752,7.871624,5249007,1869004
"MSSM_RNA_PFC_30",84201763,84201763,82344598,0.016913,532171016,0.4407,0.412848,0.832837,0.525877,4.66092,4.068358,3545064,1471052
"MSSM_RNA_PFC_310",74010211,74010211,71376841,0.013352,1144733244,0.564192,0.467329,0.705827,0.674847,6.262715,4.267078,5283491,2217477
"MSSM_RNA_PFC_311",70177956,70177956,68348040,0.016805,579328026,0.49939,0.373346,0.877804,0.450869,5.02244,3.663069,5226315,2557613
"MSSM_RNA_PFC_312",62653989,62653989,60523851,0.015919,550987138,0.44408,0.548157,0.900993,0.591525,10.653029,2.130437,5952278,3387528
"MSSM_RNA_PFC_313",63280780,63280780,61298168,0.019563,544686210,0.52272,0.765782,0.731479,1.026429,13.968447,1.284126,5302087,3637373
"MSSM_RNA_PFC_314",79272106,79272106,77524598,0.016191,839289936,0.394909,0.504389,0.890593,0.567913,4.401605,3.62303,3624526,1441000
"MSSM_RNA_PFC_315",98903436,98903436,96354015,0.017651,1021539743,0.513921,0.424485,0.726002,0.619684,2.993156,3.19553,8512831,2824599
"MSSM_RNA_PFC_316",82381187,82381187,80353300,0.013523,989672117,0.541737,0.424264,0.758307,0.56612,4.453067,5.218866,7537590,2624008
"MSSM_RNA_PFC_319",75892091,75892091,72382626,0.012607,668714488,0.496048,0.370826,0.795033,0.475514,16.292835,2.006654,7000529,5224128
"MSSM_RNA_PFC_31",67599053,67599053,65852791,0.015533,936540014,0.526119,0.443186,0.734794,0.596519,4.210883,3.898855,5088964,1807445
"MSSM_RNA_PFC_320",71960344,71960344,69451910,0.015724,1113370043,0.370398,0.680185,0.865933,0.806706,14.822629,1.025692,4980026,3654469
"MSSM_RNA_PFC_321",98130122,98130122,94642629,0.01703,1114347905,0.471766,0.624224,0.788705,0.788813,9.15326,2.547473,8853530,5405713
"MSSM_RNA_PFC_323",67713381,67713381,65957477,0.021617,503767089,0.458509,0.487651,0.809137,0.65087,5.002945,2.494037,4201702,2353332
"MSSM_RNA_PFC_326",83181655,83181655,81056253,0.016109,1015684618,0.442561,0.542612,0.996825,0.535616,4.794352,2.467207,9141062,3467683
"MSSM_RNA_PFC_327",83825931,83825931,81568720,0.017818,701815728,0.437398,0.501876,0.893516,0.528382,4.202775,3.515181,3549800,1893701
"MSSM_RNA_PFC_328",70414789,70414789,68195788,0.018584,657561588,0.402688,0.596046,0.949555,0.638288,9.763783,3.437594,5947386,4297946
"MSSM_RNA_PFC_329",91445757,91445757,89178397,0.013381,762085755,0.533868,0.367261,0.783385,0.524155,4.28014,5.753571,5815882,2147912
"MSSM_RNA_PFC_32",77323390,77323390,75199400,0.014472,985365302,0.555395,0.489,0.720951,0.671017,4.166936,3.312485,8521472,2979098
"MSSM_RNA_PFC_330",110147823,110147823,106952852,0.017316,907430185,0.418759,0.492298,0.869421,0.588843,6.3707,3.593859,6128823,4411473
"MSSM_RNA_PFC_331",87042106,87042106,84606761,0.014332,984310364,0.544803,0.393329,0.762534,0.535918,5.553444,5.219917,6444696,2524709
"MSSM_RNA_PFC_336",75495973,75495973,73128807,0.019916,646055169,0.493498,0.460691,0.735254,0.651937,7.569124,1.561497,4762926,2736032
"MSSM_RNA_PFC_337",55333350,55333350,53569802,0.019109,472889288,0.434098,0.512107,0.851618,0.594424,4.46112,2.912718,1768012,924731
"MSSM_RNA_PFC_338",85284363,85284363,82673271,0.016648,1163057132,0.39512,0.601967,0.828738,0.737478,9.31079,0.866822,3399666,2232705
"MSSM_RNA_PFC_339",138726570,138726570,132006984,0.012725,2297132752,0.448197,0.567183,0.778352,0.751947,15.588411,1.118011,9379622,6561094
"MSSM_RNA_PFC_33",53441477,53441477,52129848,0.015534,536964559,0.455525,0.439349,0.83319,0.532725,3.698264,3.537194,1252398,554079
"MSSM_RNA_PFC_341",49371490,49371490,47626275,0.020052,454830267,0.406341,0.68928,0.872942,0.774915,13.274666,2.472913,4000543,3161979
"MSSM_RNA_PFC_342",47757431,47757431,45924639,0.015705,519589203,0.39714,0.571699,0.941681,0.596991,9.952289,3.816298,3582336,2640309
"MSSM_RNA_PFC_343",83278289,83278289,80716280,0.014102,926600438,0.541585,0.361811,0.711276,0.541614,3.683091,4.181523,11126091,4111663
"MSSM_RNA_PFC_344",72558863,72558863,69869095,0.016637,1253282835,0.386771,0.696891,0.8389,0.812942,16.254492,0.379262,4539405,3170014
"MSSM_RNA_PFC_345",84111509,84111509,81504076,0.014123,1586837910,0.535106,0.448656,0.719953,0.627327,3.97744,2.637656,4903029,1922060
"MSSM_RNA_PFC_346",97160100,97160100,93775059,0.016939,846796628,0.528438,0.445253,0.695614,0.689595,5.51785,2.151316,7242823,3597444
"MSSM_RNA_PFC_347",69059000,69059000,67339680,0.015742,631363270,0.461141,0.433541,0.827949,0.528535,3.160546,3.374009,2094113,863008
"MSSM_RNA_PFC_348",89377736,89377736,86877865,0.011673,2231998792,0.792999,0.221352,0.585663,0.368767,4.069686,6.598713,18442181,7476922
"MSSM_RNA_PFC_34",75469963,75469963,73031312,0.014763,979737539,0.599436,0.39739,0.704926,0.588339,4.939547,5.354239,10609321,3997710
"MSSM_RNA_PFC_350",56013069,56013069,54810918,0.015528,661833540,0.590695,0.377616,0.709692,0.549789,3.073895,3.844217,3913981,1173257
"MSSM_RNA_PFC_351",58894576,58894576,57313538,0.014687,955235152,0.409702,0.573126,0.835492,0.695285,4.40656,1.859591,2700356,1128644
"MSSM_RNA_PFC_352",65517027,65517027,63134144,0.016813,729767490,0.387291,0.647295,0.920073,0.708968,16.478019,3.011115,6559822,5381013
"MSSM_RNA_PFC_353",45774483,45774483,44640056,0.017369,426690995,0.413184,0.507394,0.900361,0.56974,4.977027,3.638549,5298018,2094656
"MSSM_RNA_PFC_354",62281795,62281795,60469686,0.020788,419092376,0.520219,0.314138,0.69751,0.46234,5.506303,0.143117,7924894,2901643
"MSSM_RNA_PFC_355",68006878,68006878,66775718,0.013101,1129546512,0.652601,0.286499,0.690165,0.420841,3.712311,5.673015,13370354,4998306
"MSSM_RNA_PFC_356",57454106,57454106,55726408,0.01048,989058073,0.442433,0.401219,0.747179,0.59188,4.673692,3.24127,1302092,601697
"MSSM_RNA_PFC_357",72995636,72995636,69847028,0.014567,1018924597,0.390647,0.607186,0.857238,0.724835,17.618888,1.451953,5603211,4668982
"MSSM_RNA_PFC_358",97610299,97610299,93721787,0.016344,1223153802,0.457123,0.637835,0.79231,0.780068,11.107315,2.239828,10081531,6084771
"MSSM_RNA_PFC_359",83150048,83150048,80662849,0.016768,818588738,0.49507,0.357851,0.813131,0.445717,4.689571,2.95383,3493308,2312848
"MSSM_RNA_PFC_360",81621679,81621679,79042296,0.015781,960366763,0.564444,0.391842,0.74877,0.576116,4.053141,4.044932,7607509,2716457
"MSSM_RNA_PFC_361",108621834,108621834,104895333,0.013492,1820077594,0.370647,0.698419,0.851608,0.812185,12.925031,0.50651,6568788,3566656
"MSSM_RNA_PFC_364",92619213,92619213,90009676,0.015297,1395365564,0.407155,0.681726,0.815197,0.8186,7.735777,1.68645,6165525,3109713
"MSSM_RNA_PFC_365",88844934,88844934,86121616,0.01545,1096129569,0.57676,0.397362,0.748421,0.553369,4.580407,4.696616,8932621,3351021
"MSSM_RNA_PFC_366",76881537,76881537,74336336,0.019753,717818098,0.402768,0.618353,0.814018,0.776439,7.79224,1.322519,3019534,1928028
"MSSM_RNA_PFC_367",70866812,70866812,68939067,0.015392,710370729,0.571081,0.398474,0.738973,0.53541,3.515063,4.649289,4112173,1455586
"MSSM_RNA_PFC_368",78970942,78970942,76394009,0.016946,1052366469,0.491183,0.435654,0.765771,0.58929,6.359219,2.676808,3607427,1901270
"MSSM_RNA_PFC_36",72083224,72083224,69912029,0.014918,1170393857,0.397865,0.599841,0.876845,0.676761,9.739262,1.104549,3640733,2339760
"MSSM_RNA_PFC_370",67653653,67653653,65925891,0.014914,760607811,0.44033,0.490647,0.812821,0.60681,4.397087,3.333051,5326166,1929802
"MSSM_RNA_PFC_371",76698654,76698654,74385283,0.018522,614768997,0.420258,0.526599,0.864211,0.608369,4.741605,3.310717,2811580,1393151
"MSSM_RNA_PFC_374",85122764,85122764,82422531,0.017128,890165479,0.436743,0.548291,0.838087,0.657571,8.019589,3.102168,5028119,3656698
"MSSM_RNA_PFC_375",79898365,79898365,77467061,0.015716,841928918,0.460286,0.473716,0.801098,0.578886,5.143884,4.841102,6214652,2799110
"MSSM_RNA_PFC_376",57459536,57459536,55987488,0.014956,734630160,0.41666,0.456069,0.860826,0.504648,4.247425,3.268628,1972675,979983
"MSSM_RNA_PFC_377",77252839,77252839,75233562,0.015234,979591484,0.512716,0.423372,0.759011,0.61492,3.891802,2.819117,5291317,1804102
"MSSM_RNA_PFC_378",104742029,104742029,100838227,0.01415,1429583997,0.38137,0.608305,0.866295,0.698198,14.033583,1.706527,7405147,5606751
"MSSM_RNA_PFC_379",74687519,74687519,72137127,0.01609,1345366072,0.367215,0.709907,0.881578,0.811382,18.525884,0.38334,5402309,3941165
"MSSM_RNA_PFC_37",116383842,116383842,110180463,0.012576,1571676177,0.403454,0.596407,0.916124,0.627615,20.66165,3.362399,13822509,11404971
"MSSM_RNA_PFC_380",65799695,65799695,63886572,0.015496,438006366,0.52226,0.314868,0.765101,0.401081,5.478585,5.071059,2457780,1005521
"MSSM_RNA_PFC_381",72814079,72814079,70858165,0.014767,1150408322,0.414745,0.630694,0.810857,0.770888,5.168047,2.188865,4383265,1680056
"MSSM_RNA_PFC_382",73638859,73638859,71720633,0.016407,927010894,0.509294,0.464695,0.759354,0.625375,3.36777,2.379661,5049350,1748688
"MSSM_RNA_PFC_383",82707768,82707768,80288294,0.017313,895296113,0.434343,0.611455,0.827761,0.755302,8.333744,1.899255,4907813,3132942
"MSSM_RNA_PFC_384",81865005,81865005,79493232,0.016529,736453893,0.450144,0.457661,0.87394,0.537334,4.858011,4.154482,3682182,2157622
"MSSM_RNA_PFC_386",75833838,75833838,72596914,0.020494,881702018,0.462646,0.463805,0.747673,0.617335,13.297899,0.119147,3368284,2426880
"MSSM_RNA_PFC_387",58731351,58731351,57093935,0.018572,614640047,0.401761,0.544433,0.881266,0.627188,7.151593,1.674869,2120325,1558107
"MSSM_RNA_PFC_388",112098395,112098395,108414050,0.014601,1337002350,0.489497,0.448867,0.759653,0.636394,4.69086,2.588613,4997676,2254046
"MSSM_RNA_PFC_389",77661341,77661341,73503212,0.01625,897835722,0.413939,0.654877,0.842821,0.758248,15.455093,3.246729,9733053,6454166
"MSSM_RNA_PFC_38",54113519,54113519,52812443,0.019063,460042542,0.431246,0.430262,0.897887,0.48769,4.421194,3.643328,1687797,730461
"MSSM_RNA_PFC_390",50590759,50590759,48918882,0.020727,343109494,0.471787,0.455488,0.825407,0.575358,3.871641,2.767738,2223762,928270
"MSSM_RNA_PFC_391",61764440,61764440,60260171,0.015418,558590199,0.435043,0.420596,0.878393,0.520688,4.219419,3.699004,2449092,1093652
"MSSM_RNA_PFC_392",93915067,93915067,90129446,0.016962,1312241645,0.397392,0.670167,0.827445,0.824489,18.074716,0.971102,7367198,6135433
"MSSM_RNA_PFC_394",59524047,59524047,58216851,0.016537,480795096,0.519633,0.35169,1.046699,0.345269,4.072424,3.623422,3730580,1331942
"MSSM_RNA_PFC_396",74460209,74460209,72830989,0.015609,569143575,0.455297,0.396422,0.866876,0.452134,4.078325,2.673382,11750267,4448975
"MSSM_RNA_PFC_397",60811159,60811159,59200859,0.020254,435425320,0.495648,0.44986,0.785214,0.587288,4.063804,3.937137,4157373,1804247
"MSSM_RNA_PFC_398",94351591,94351591,92042504,0.017934,678624903,0.468663,0.426287,0.790945,0.535408,4.054513,2.693344,2856426,1270321
"MSSM_RNA_PFC_399",97861821,97861821,94922373,0.016062,1296748266,0.452975,0.472827,0.793899,0.601133,4.93579,3.63078,4683108,2406060
"MSSM_RNA_PFC_39",75761542,75761542,72197031,0.016932,1062167550,0.482104,0.658807,0.740242,0.894334,17.914204,1.391243,12341803,7341318
"MSSM_RNA_PFC_3",66142162,66142162,63451971,0.023267,679332818,0.379927,0.698647,0.830433,0.840889,17.057869,0.655094,4025073,3072958
"MSSM_RNA_PFC_40",60300158,60300158,58794231,0.022748,230371275,0.423269,0.519908,0.861843,0.59751,4.433156,4.081508,2738665,917492
"MSSM_RNA_PFC_41",65693502,65693502,63409489,0.016139,911727248,0.460564,0.553164,0.752126,0.764823,6.337211,1.765675,2195146,1182183
"MSSM_RNA_PFC_42",72408472,72408472,70062393,0.018901,619967289,0.526372,0.48787,0.72078,0.686467,5.856941,1.619305,6695259,2990100
"MSSM_RNA_PFC_43",70389839,70389839,68975099,0.016262,680979116,0.498138,0.420172,1.144872,0.360206,4.033004,3.295239,5817751,2072676
"MSSM_RNA_PFC_44",85069946,85069946,81490688,0.018103,1091138353,0.485877,0.479397,0.794855,0.599664,9.066452,1.537711,4725648,3034465
"MSSM_RNA_PFC_45",66187835,66187835,64672952,0.01795,582525208,0.501906,0.346915,0.766679,0.466739,3.434689,3.861353,11003313,4187562
"MSSM_RNA_PFC_46",76376802,76376802,74211007,0.015667,746270675,0.525716,0.414477,0.769517,0.575546,5.508427,4.844267,6359947,2431277
"MSSM_RNA_PFC_47",61413243,61413243,58995531,0.019285,596541957,0.431049,0.519069,0.815768,0.655691,11.546427,1.643591,3199512,2516416
"MSSM_RNA_PFC_48",100421744,100421744,97399640,0.017422,1008589820,0.49016,0.399289,0.783266,0.522702,4.400777,4.566959,4324697,2220584
"MSSM_RNA_PFC_4",103830756,103830756,101368420,0.016882,1234674807,0.408561,0.478853,0.981298,0.483005,5.236659,3.7284,7284409,3311112
