Gene Symbol,Affymetrix ID,Module Assigned
B3galt1,1422206_at,NA
B3galt1,1450530_at,NA
B3galt2,1423084_at,midnightblue
B3galt2,1437644_at,pink
B3galt3,1418736_at,NA
B3galt4,1419138_at,NA
B3galt5,1450528_at,NA
B3galt6,1421155_at,NA
B3galt6,1435252_at,NA
B3gat1,1425316_at,NA
B3gat1,1425690_at,NA
B3gat1,1425691_at,NA
B3gat3,1416960_at,grey
B3gat3,1431219_at,NA
B3gnt1,1450026_a_at,grey
B3gnt1,1420852_a_at,NA
B3gnt3,1422211_a_at,NA
B3gnt4,1451815_at,NA
B3gnt5,1420994_at,NA
B3gnt5,1420993_at,NA
B3gnt6,1452346_at,NA
B430108F07Rik,1451469_at,NA
B430110G05Rik,1433448_at,NA
B430110G05Rik,1436909_at,NA
B430110G05Rik,1456465_at,NA
B430218L07Rik,1436031_at,NA
B430218L07Rik,1436030_at,red
B430320C24Rik,1448024_at,grey
B430320C24Rik,1435184_at,orange
B4galt1,1418014_a_at,NA
B4galt2,1448941_at,NA
B4galt2,1418080_at,NA
B4galt3,1449435_at,NA
B4galt3,1448053_at,NA
B4galt3,1448065_at,NA
B4galt4,1425934_a_at,NA
B4galt5,1421967_at,NA
B4galt6,1460329_at,NA
B4galt6,1423228_at,green
B4galt6,1450913_at,NA
B4galt6,1435758_at,NA
B4galt7,1426303_at,NA
B4galt7,1426304_x_at,yellow
B7galt7,1425128_at,NA
B830009D23Rik,1455350_at,NA
B930007L02Rik,1455764_at,NA
B930007L02Rik,1434609_at,NA
B930007L02Rik,1454798_at,NA
B930013M22Rik,1428657_at,grey
B930013M22Rik,1452862_at,NA
B930041F14Rik,1427230_at,yellow
B930093C12Rik,1436613_at,grey
Baalc,1452022_at,NA
Baalc,1426329_s_at,NA
Baat,1419001_at,NA
Baat,1419002_s_at,NA
Bace1,1455826_a_at,NA
Bace1,1450384_at,NA
Bace1,1421825_at,NA
Bace1,1421824_at,grey
Bace1,1436956_at,greenyellow
Bace2,1437846_x_at,NA
Bace2,1416673_at,NA
Bace2,1438645_x_at,NA
Bach1,1449311_at,pink
Bach2,1437667_a_at,greenyellow
Bach2,1421343_at,NA
Bad,1416583_at,NA
Bad,1416582_a_at,NA
Bag1,1416394_at,NA
Bag2,1423948_at,NA
Bag3,1422452_at,NA
Bag4,1418707_at,NA
Bag4,1449186_at,NA
Bag5,1452628_at,NA
Bai1,1455363_at,red
Baiap2,1425656_a_at,pink
Baiap2,1451028_at,NA
Baiap2,1435128_at,pink
Baiap2,1451027_at,NA
Baiap2l1,1451539_at,NA
Baiap2l1,1424951_at,NA
Bak1,1418991_at,NA
Bak1,1425716_s_at,NA
Bambi,1423753_at,NA
Banf1,1421081_a_at,brown
Banf1,1421082_s_at,NA
Banf1,1421083_x_at,NA
Banp,1452462_a_at,NA
Bap1,1426354_at,NA
Bap1,1452039_a_at,NA
Bapx1,1421464_at,NA
Bard1,1420594_at,NA
Barhl1,1418811_at,NA
Barhl1,1418812_a_at,NA
Barx1,1423342_at,NA
Barx2,1421761_a_at,NA
Basp1,1428572_at,NA
Bat1a,1448221_at,NA
Bat1a,1437984_x_at,NA
Bat1a,1437367_at,NA
Bat2,1422799_at,NA
Bat2,1422800_at,NA
Bat3,1433890_a_at,NA
Bat4,1423163_at,NA
Bat4 /// LOC434585,1420284_at,NA
Bat5,1415732_at,NA
Bat5,1460709_a_at,NA
Batf,1419410_at,NA
Bax,1416837_at,NA
Baz1b,1437420_at,NA
Baz1b,1420975_at,NA
Baz1b,1450068_at,NA
Baz1b,1434824_at,NA
Baz2a,1427209_at,NA
Baz2a,1427210_at,NA
Baz2a,1438192_s_at,NA
BB001228,1419896_at,NA
BB001228,1419897_at,NA
BB128963,1452288_at,NA
BB146404,1424680_at,green
BB219290,1419908_at,NA
Bbc3,1423315_at,NA
Bbox1,1419618_at,NA
Bbs2,1424478_at,NA
Bbx,1430820_a_at,NA
Bbx,1422741_a_at,NA
Bbx,1425835_a_at,NA
BC002059,1425095_at,NA
BC002118,1421371_at,NA
BC002199,1426234_s_at,brown
BC002216,1448693_at,grey
BC002230,1451303_at,NA
BC002236,1454947_a_at,blue
BC002236,1415790_at,turquoise
BC002236,1415788_at,blue
BC002236,1415789_a_at,turquoise
BC003236,1449300_at,NA
BC003236,1418985_at,NA
BC003251,1416223_at,grey
BC003266,1449189_at,grey
BC003267,1460369_at,NA
BC003324,1423134_at,grey
BC003331,1426089_a_at,NA
BC003331 /// LOC547320,1434471_at,NA
BC003479,1424869_at,purple
BC003498,1418749_at,pink
BC003885,1424377_at,NA
BC003940,1460690_at,NA
BC003965,1424546_at,NA
BC003965,1424545_at,NA
BC003993,1438278_a_at,NA
BC003993 /// LOC432468 /// LOC432512 /// LOC432823 /// LOC432857 /// LOC432890 /// LOC432924 /// LOC432932 /// LOC433043 /// LOC433244 /// LOC433340 /// LOC433373 /// LOC433596 /// LOC433657 /// LOC433893 /// LOC433915 /// LOC434014 /// LOC434071 /// LOC434166 /// LOC434383 /// LOC434421 /// LOC434430 /// LOC434450 /// LOC434503 /// LOC434600 /// LOC434603 /// LOC434620 /// LOC434657 /// LOC434801 /// LOC434829 /// LOC436444 /// LOC436463 /// LOC544687 /// LOC544751 /// LOC545083 /// LOC545308 /// LOC545324 /// LOC545329 /// LOC545349 /// LOC545504 /// LOC545595 /// LOC545657 /// LOC545659 /// LOC545842 /// LOC545895 /// LOC546031 /// LOC546047 /// LOC546153 /// LOC546177 /// LOC547373,1424609_a_at,NA
BC003993 /// LOC432468 /// LOC432512 /// LOC432823 /// LOC432857 /// LOC432890 /// LOC432924 /// LOC432932 /// LOC433043 /// LOC433244 /// LOC433373 /// LOC433596 /// LOC433657 /// LOC433893 /// LOC433915 /// LOC434014 /// LOC434071 /// LOC434166 /// LOC434383 /// LOC434421 /// LOC434430 /// LOC434450 /// LOC434503 /// LOC434600 /// LOC434603 /// LOC434620 /// LOC434657 /// LOC434801 /// LOC434829 /// LOC436444 /// LOC436463 /// LOC544751 /// LOC545083 /// LOC545308 /// LOC545324 /// LOC545329 /// LOC545349 /// LOC545504 /// LOC545657 /// LOC545659 /// LOC545842 /// LOC545895 /// LOC546031 /// LOC546047 /// LOC546177 /// LOC547373,1424607_a_at,NA
BC004004,1438534_x_at,NA
BC004004,1416609_at,NA
BC004004,1416608_a_at,NA
BC004004,1434276_x_at,NA
BC004022,1418154_at,NA
BC004044,1417688_at,green
BC004636,1451141_at,lightyellow
BC004728,1425108_a_at,NA
BC004853,1451498_at,NA
BC005471,1451566_at,NA
BC005537,1450877_at,NA
BC005537,1423154_at,NA
BC005561,1427461_at,NA
BC005624,1456016_x_at,NA
BC005624,1423789_at,purple
BC005662,1451359_at,NA
BC005662,1424460_s_at,NA
BC005662,1424459_at,NA
BC005752,1424023_at,NA
BC006662,1451562_at,NA
BC006705,1426096_at,NA
BC006705,1451248_at,grey
BC006779,1435454_a_at,NA
BC006835,1451856_at,NA
BC006909,1460349_at,NA
BC006965,1425121_a_at,NA
BC007180,1427501_at,grey
BC008103,1424577_at,green
BC008150,1452323_at,grey
BC008155,1425323_a_at,NA
BC008163,1425327_at,NA
BC008163,1425328_at,pink
BC009118,1451398_at,purple
BC010250,1427116_at,NA
BC010304,1433572_a_at,NA
BC010304,1427296_at,NA
BC010304,1439119_a_at,NA
BC010304,1439120_at,NA
BC010311,1424290_at,NA
BC010311,1424289_at,NA
BC010462,1425002_at,NA
BC010552,1425109_at,NA
BC010787,1430421_a_at,NA
BC010801,1424418_at,NA
BC011209,1424123_at,NA
BC011248,1424728_at,NA
BC011426,1425240_at,NA
BC011467,1451601_a_at,NA
BC011487,1424761_at,NA
BC012016,1426107_at,NA
BC012256,1425359_at,NA
BC012278,1451654_x_at,NA
BC012278,1425297_at,NA
BC013476,1424943_at,NA
BC013481,1423411_at,NA
BC013481,1423412_at,NA
BC013491,1427710_at,NA
BC013529,1424025_at,NA
BC013529,1424026_s_at,NA
BC013672,1451777_at,NA
BC013712,1427041_at,NA
BC014685,1424726_at,red
BC014699,1424652_at,NA
BC014795,1423871_at,NA
BC014805,1425752_at,NA
BC014805,1425751_at,NA
BC016076,1425257_at,NA
BC016188,1426422_at,NA
BC016198,1424244_at,NA
BC016198,1424243_at,blue
BC016201,1451549_at,NA
BC016423,1418772_at,NA
BC016495,1425646_at,NA
BC016495,1448048_at,NA
BC016548,1425961_at,NA
BC016579,1424941_at,NA
BC017133,1451125_at,grey
BC017158,1424812_at,red
BC017612,1419403_at,NA
BC017643,1423678_at,NA
BC017647,1424663_at,NA
BC017647,1424664_at,NA
BC018242,1424757_at,midnightblue
BC018285,1425069_at,NA
BC018371 /// LOC433604,1425355_at,NA
BC018462,1426097_a_at,turquoise
BC018465,1425046_at,NA
BC018473,1427451_a_at,NA
BC018473,1427453_at,NA
BC018507,1424071_s_at,NA
BC018507,1451221_at,grey
BC018601,1460399_at,NA
BC018601,1452218_at,NA
BC019537,1425950_at,NA
BC019561,1425224_at,NA
BC019731,1424477_at,NA
BC019755,1460372_at,NA
BC019806,1426375_s_at,blue
BC019943,1424361_at,NA
BC019943,1424360_at,NA
BC019943,1435309_at,NA
BC019943,1438741_at,NA
BC020002,1424804_at,NA
BC020002,1424803_at,NA
BC020025,1451298_at,NA
BC020077,1451349_at,NA
BC020108,1427508_at,NA
BC020184,1424386_at,grey
BC020535,1460382_at,NA
BC021367,1426212_s_at,NA
BC021367,1426211_at,NA
BC021381,1451234_at,NA
BC021395,1451631_at,NA
BC021395,1454964_at,NA
BC021438,1424788_at,NA
BC021442,1451902_at,pink
BC021523,1452151_at,NA
BC021608,1418696_at,NA
BC021611,1424651_at,NA
BC021614,1424953_at,NA
BC021785,1427389_at,NA
BC021790,1456724_x_at,NA
BC021790,1423808_at,NA
BC021891,1425807_at,NA
BC021917,1425300_at,NA
BC021921,1451518_at,NA
BC022150,1427647_at,NA
BC022224,1425704_at,NA
BC022623,1426734_at,greenyellow
BC022641,1426874_at,NA
BC022651,1451836_at,NA
BC022687,1451533_at,NA
BC022687,1424940_s_at,grey
BC022960,1427198_at,green
BC023055,1434943_at,NA
BC023105,1425394_at,NA
BC023151,1423765_at,NA
BC023179,1460381_at,NA
BC023488,1451400_at,NA
BC023488,1424587_at,NA
BC023754,1426843_at,NA
BC023814,1433961_at,NA
BC023823,1434744_at,NA
BC023829,1435228_at,NA
BC023882,1423919_at,NA
BC024137,1427513_at,NA
BC024139,1451579_at,NA
BC024479,1426232_at,NA
BC024502,1425928_at,NA
BC024561,1451610_at,NA
BC024683,1451797_at,NA
BC024683,1434546_at,NA
BC024760,1452480_at,NA
BC024806,1451354_at,grey
BC024814,1424434_at,NA
BC024868,1451403_at,NA
BC024969,1426262_at,NA
BC024969,1452002_at,NA
BC024997,1425302_at,NA
BC025076,1451583_a_at,NA
BC025446,1425712_at,NA
BC025462,1427953_at,NA
BC025462,1425941_a_at,NA
BC025519,1452216_at,NA
BC025546,1424232_a_at,NA
BC025546,1451273_x_at,NA
BC025546,1437684_at,NA
BC025600,1451344_at,NA
BC025816,1425123_at,NA
BC025833,1451528_at,NA
BC026370,1452219_at,NA
BC026374,1451615_at,NA
BC026432,1424506_at,NA
BC026439,1425207_at,NA
BC026585,1460696_at,NA
BC026645,1427367_at,NA
BC026657,1457147_at,NA
BC026657,1426880_at,grey
BC026682,1417443_at,NA
BC026744,1424380_at,NA
BC026996,1427014_at,grey
BC027061,1451779_at,NA
BC027072,1425306_at,NA
BC027073,1427309_at,NA
BC027092,1425912_at,NA
BC027127,1452065_at,lightyellow
BC027174,1456325_at,NA
BC027174,1424846_at,NA
BC027174,1424845_a_at,NA
BC027231,1455781_at,NA
BC027231,1451439_at,NA
BC027309,1423843_at,NA
BC027342,1451361_a_at,NA
BC027344,1451482_at,NA
BC027373,1425192_at,NA
BC027382,1452336_at,NA
BC027582,1428048_at,NA
BC027663,1427962_at,NA
BC027663,1438316_a_at,NA
BC027828,1428000_at,NA
BC028265,1452623_at,NA
BC028440,1427947_at,NA
BC028528,1427996_at,NA
BC028663,1452641_at,NA
BC028975,1434793_at,NA
BC030046,1439064_at,NA
BC030183,1455587_at,NA
BC031140,1427224_at,NA
BC031140,1427215_at,NA
BC031140,1456190_a_at,NA
BC031140,1427223_a_at,NA
BC031181,1415752_at,NA
BC031593,1427352_at,NA
BC032204,1433964_s_at,NA
BC032204,1456014_s_at,NA
BC032204,1433963_a_at,NA
BC034204,1433661_at,NA
BC035291,1437267_x_at,NA
BC037006,1427261_at,green
BC037006,1420009_at,NA
BC037006,1420008_s_at,red
BC037006,1420007_at,NA
BC037034,1454820_at,NA
BC037527,1430661_at,NA
BC038286,1452164_at,NA
BC038311,1415710_at,NA
BC039093,1435087_at,NA
BC040823,1455155_at,NA
BC042901,1460034_at,NA
BC043118,1434410_at,NA
BC046331,1435156_at,brown
BC048355,1460713_at,NA
BC048403,1427954_at,NA
BC049807,1437696_at,NA
BC051244,1451455_at,NA
BC052328,1435375_at,green
BC053393,1447604_at,NA
BC053440,1452192_at,NA
BC054059,1424729_at,NA
BC054822,1460234_at,NA
BC055757,1438465_at,NA
BC056474,1424117_at,grey
BC057079,1419859_at,NA
BC057552,1454750_a_at,NA
BC057893,1437026_at,NA
BC058674,1451560_at,NA
BC058674,1451561_at,NA
BC060631,1434143_at,grey
BC087945,1427966_at,grey
Bcan,1416718_at,blue
Bcap29,1417077_at,grey
Bcap31,1451049_at,NA
Bcap31,1456279_a_at,NA
Bcap37,1438938_x_at,NA
Bcap37,1455713_x_at,NA
Bcap37,1416202_at,brown
Bcar1,1450622_at,NA
Bcar1,1439388_s_at,orange
Bcar3,1415936_at,NA
Bcas2,1418234_s_at,turquoise
Bcas2,1437262_x_at,NA
Bcas2,1458219_at,NA
Bcas3,1428454_at,NA
Bcas3,1423528_at,NA
Bcat1,1430111_a_at,NA
Bcat1,1450871_a_at,blue
Bcat2,1425764_a_at,NA
Bccip,1448542_at,NA
Bcdo2,1421221_at,NA
Bche,1421218_at,NA
Bckdha,1416647_at,NA
Bckdhb,1427153_at,blue
Bckdk,1460644_at,NA
Bcl10,1418972_at,NA
Bcl10,1418970_a_at,NA
Bcl10,1418971_x_at,NA
Bcl11a,1426552_a_at,NA
Bcl11a,1419406_a_at,NA
Bcl11b,1450339_a_at,yellow
Bcl2,1422938_at,NA
Bcl2,1427818_at,NA
Bcl2,1427819_at,NA
Bcl2a1a /// Bcl2a1b /// Bcl2a1c /// Bcl2a1d,1450812_at,NA
Bcl2a1a /// Bcl2a1b /// Bcl2a1d,1419004_s_at,NA
Bcl2a1a /// Bcl2a1b /// Bcl2a1d,1437913_at,NA
Bcl2l1,1426191_a_at,NA
Bcl2l1,1420888_at,NA
Bcl2l1,1426050_at,NA
Bcl2l1,1420887_a_at,NA
Bcl2l10,1416434_at,NA
Bcl2l11,1435449_at,black
Bcl2l11,1456005_a_at,pink
Bcl2l11,1435448_at,black
Bcl2l11,1456006_at,NA
Bcl2l11,1426334_a_at,NA
Bcl2l13,1424406_at,grey
Bcl2l14,1429347_at,NA
Bcl2l14,1424814_a_at,NA
Bcl2l2,1430453_a_at,NA
Bcl2l2,1430454_x_at,NA
Bcl2l2,1423572_at,blue
Bcl2l2,1451029_at,NA
Bcl3,1418133_at,NA
Bcl6,1450381_a_at,NA
Bcl6,1421818_at,NA
Bcl6b,1418421_at,NA
Bcl7a,1451855_at,NA
Bcl7b,1448247_at,grey
Bcl7c,1449523_at,NA
Bcl9,1451574_at,NA
Bcl9l,1419180_at,NA
Bclaf1,1428845_at,grey
Bclaf1,1428844_a_at,NA
Bcmo1,1449907_at,NA
Bcr,1427265_at,NA
Bcr,1452368_at,NA
Bcs1l,1451541_at,NA
Bdh,1452257_at,NA
Bdh,1426959_at,purple
Bdkrb1,1450586_at,NA
Bdkrb2,1422263_at,NA
Bdnf,1422169_a_at,grey
Bdnf,1422168_a_at,grey
BE136769,1418734_at,NA
Becn1,1460320_at,grey
Becn1,1437006_x_at,NA
Becn1,1455880_s_at,purple
Becn1,1435219_x_at,NA
Bet1,1416867_at,NA
Bet1,1416866_at,NA
Bet1l,1453570_x_at,NA
Bet1l,1430549_at,NA
Bet1l,1426372_a_at,NA
Bet1l,1422980_a_at,NA
Bex2,1417388_at,NA
Bex4,1428209_at,turquoise
Bex6,1459923_at,NA
Bfar,1426489_s_at,red
Bfar,1426490_at,grey
Bfar,1426488_at,NA
Bfsp1,1450571_a_at,NA
Bglap-rs1 /// Bglap1 /// Bglap2,1449880_s_at,NA
Bgn,1437889_x_at,NA
Bgn,1448323_a_at,NA
Bgn,1416405_at,NA
Bhlhb2,1418025_at,grey
Bhlhb3,1421099_at,NA
Bhlhb4,1421561_at,NA
Bhlhb5,1418271_at,greenyellow
Bhlhb8,1418800_at,NA
Bhlhb8,1449233_at,NA
Bhmt,1450624_at,NA
Bhmt2,1418913_at,NA
Bhmt2,1418914_s_at,NA
Bicc1,1423484_at,NA
Bicd1,1451684_a_at,NA
Bicd1,1427530_at,NA
Bicd1,1437548_at,purple
Bicd2,1437491_at,NA
Bicd2,1422746_s_at,NA
Bicd2,1450733_at,NA
Bicd2,1450732_a_at,NA
Bid,1448560_at,NA
Bid,1417045_at,black
Bid3,1450366_at,NA
Biklk,1449836_x_at,NA
Biklk,1420362_a_at,NA
Biklk,1420363_at,NA
Bin1,1423618_at,NA
Bin1,1425532_a_at,black
Bin3,1417691_at,NA
Birc1a,1425298_a_at,NA
Birc1b,1460273_a_at,NA
Birc1e,1421525_a_at,NA
Birc2,1418854_at,NA
Birc3,1421392_a_at,NA
Birc3,1425223_at,NA
Birc4,1426636_a_at,NA
Birc4,1456088_at,NA
Birc4,1437533_at,turquoise
Birc4,1450232_at,NA
Birc4,1450231_a_at,NA
Birc5,1424278_a_at,NA
Birc6,1419563_at,NA
Birc6,1427488_a_at,NA
Birc6,1419562_at,NA
Blcap,1420631_a_at,NA
Blk,1422775_at,NA
Blm,1448953_at,NA
Blmh,1452101_at,NA
Blmh,1438961_s_at,NA
Blnk,1451780_at,NA
Bloc1s1,1422614_s_at,red
Bloc1s3,1427390_at,NA
Blr1,1422003_at,NA
Blvra,1428580_at,grey
Blvrb,1451386_at,NA
Blzf1,1418973_at,NA
Blzf1,1418974_at,NA
Bmf,1422995_at,NA
Bmi1,1417493_at,NA
Bmi1,1448733_at,NA
Bmp1,1427458_at,NA
Bmp1,1426238_at,NA
Bmp1,1427457_a_at,NA
Bmp10,1421763_at,NA
Bmp15,1450210_at,NA
Bmp2,1423635_at,NA
Bmp2k,1437419_at,grey
Bmp2k,1421103_at,NA
Bmp4,1422912_at,NA
Bmp5,1421282_at,NA
Bmp5,1421283_at,NA
Bmp6,1450759_at,NA
Bmp7,1432410_a_at,NA
Bmp7,1418910_at,NA
Bmp8a,1449873_at,NA
Bmp8b,1450342_at,NA
Bmpr1a,1425494_s_at,NA
Bmpr1a,1425492_at,NA
Bmpr1a,1425491_at,NA
Bmpr1a,1451729_at,NA
Bmpr1a,1425493_at,NA
Bmpr1b,1422872_at,NA
Bmpr2,1419616_at,NA
Bms1l,1433636_at,NA
Bmx,1422084_at,NA
Bmyc,1428669_at,NA
Bnc1,1424890_at,NA
Bnip1,1427908_at,NA
Bnip2,1453993_a_at,NA
Bnip2,1431731_at,NA
Bnip2,1422491_a_at,NA
Bnip2,1422490_at,grey
Bnip3,1422470_at,NA
Bnip3l,1416922_a_at,NA
Bnip3l,1416923_a_at,NA
Bnip3l,1448525_a_at,NA
Bnipl,1420683_at,NA
Boc,1427517_at,NA
Boc,1427516_a_at,NA
Boc,1426869_at,NA
Bok,1417040_a_at,NA
Bola1,1452637_a_at,NA
Bola1,1428456_at,NA
Boll,1427599_at,NA
Bop1,1423264_at,NA
Bpgm,1415864_at,NA
Bpgm,1448119_at,NA
Bpgm,1415865_s_at,grey
Bphl,1420235_at,NA
Bphl,1424242_at,NA
Bpil1,1418378_at,NA
Bpnt1,1449211_at,NA
Bpnt1,1418764_a_at,NA
Bpy2ip1,1454732_at,NA
Braf,1425693_at,NA
Brap,1416739_a_at,NA
Brap,1416738_at,midnightblue
Brca1,1424629_at,NA
Brca1,1424630_a_at,NA
Brca1,1451417_at,NA
Brca1,1427698_at,NA
Brca2,1419076_a_at,NA
Brd1,1434821_at,NA
Brd2,1423502_at,NA
Brd2,1437210_a_at,NA
Brd3,1460328_at,NA
Brd3,1450902_at,NA
Brd3,1423199_at,NA
Brd4,1450711_at,NA
Brd4,1424922_a_at,NA
Brd4,1451870_a_at,NA
Brd7,1448521_at,NA
Brd8,1451137_a_at,NA
Brd8,1452350_at,NA
Brd8,1427193_at,NA
Brd8,1427192_a_at,NA
Brdt,1435502_a_at,NA
Brdt,1450178_at,NA
Bre,1426312_at,NA
Bre,1426313_at,NA
Bri3,1416924_at,midnightblue
Brms1,1417897_at,NA
Brms1,1426129_at,NA
Brp16,1419046_at,NA
Brp44,1423833_a_at,NA
Brp44l,1453651_a_at,turquoise
Brpf1,1460402_at,pink
Brrn1,1423920_at,NA
Brrn1,1436707_x_at,NA
Brs3,1422265_at,NA
Brunol4,1452240_at,NA
Brunol4,1426929_at,blue
Brunol4,1426930_at,NA
Brwd1,1452322_a_at,NA
Brwd1,1452321_at,NA
Brwd1,1452503_a_at,NA
Brwd1,1427322_at,NA
Brwd3,1441182_at,NA
Bscl2,1437345_a_at,NA
Bscl2,1420632_a_at,grey
Bsdc1,1452372_at,NA
Bsdc1,1427270_a_at,black
Bsf3,1437271_at,NA
Bsf3,1437270_a_at,NA
Bsg,1456616_a_at,grey
Bsn,1450467_at,NA
Bsn,1422023_at,NA
Bsnd,1421482_at,NA
Bspry,1450131_a_at,NA
Bst1,1449454_at,NA
Bst1,1449453_at,NA
Bst2,1424921_at,NA
Btbd1,1455286_at,NA
Btbd14a,1417152_at,black
Btbd14a,1417153_at,NA
Btbd14a,1429582_at,black
Btbd14b,1420969_at,NA
Btbd14b,1420968_at,NA
Btbd14b,1433140_a_at,NA
Btbd14b,1433139_at,NA
Btbd15,1427272_at,NA
Btbd15,1427271_at,NA
Btbd2,1424054_at,NA
Btbd3,1425660_at,blue
Btbd4,1453856_at,NA
Btbd4,1454884_at,NA
Btbd4,1429168_at,NA
Btc,1421161_at,NA
Btc,1435541_at,NA
Btd,1417987_at,NA
Btf3,1423839_a_at,NA
Btf3,1449643_s_at,NA
Btg1,1437455_a_at,green
Btg1,1426083_a_at,grey
Btg2,1416250_at,turquoise
Btg2,1448272_at,green
Btg3,1449007_at,pink
Btg4,1426520_at,NA
Btk,1422755_at,NA
Btn1a1,1419175_a_at,NA
Btn1a1,1425754_a_at,NA
Btn1a1,1451824_at,NA
Btrc,1425680_a_at,purple
Bub1,1438571_at,NA
Bub1,1424046_at,NA
Bub1b,1416961_at,NA
Bub3,1448058_s_at,NA
Bub3,1416815_s_at,pink
Bub3,1459918_at,NA
Bub3,1448473_at,purple
Bucs1,1418668_at,NA
Bves,1419003_at,NA
Bxdc1,1421945_a_at,NA
Bxdc1,1425884_at,NA
Bxdc1,1450423_s_at,NA
Bxdc2,1451144_at,NA
Bxdc2,1423841_at,NA
Bxdc5,1428020_at,NA
Bxdc5,1431784_a_at,NA
Bysl,1422767_at,midnightblue
Bysl,1450742_at,NA
Bzrp,1416695_at,NA
Bzrp,1456251_x_at,NA
Bzrp,1438948_x_at,NA
Bzrpl1,1453047_at,NA
Bzw1,1450845_a_at,NA
Bzw1,1450846_at,NA
Bzw1,1423039_a_at,turquoise
Bzw1,1423041_a_at,brown
Bzw1,1423040_at,NA
Bzw2,1423456_at,NA
C030004A17Rik,1454236_a_at,brown
C030004A17Rik,1432435_s_at,pink
C030006K11Rik,1453450_at,NA
C030006K11Rik,1451085_at,NA
C030018L16Rik,1430231_a_at,NA
C030018L16Rik,1422653_at,NA
C030018P15Rik,1419940_at,NA
C030018P15Rik,1419941_at,NA
C030019F02Rik,1422596_at,NA
C030022K24Rik,1453710_at,NA
C030022K24Rik,1425318_a_at,NA
C030027K23Rik,1452351_at,NA
C130006E23,1455206_at,NA
C130036L24Rik,1431350_at,NA
C130052I12Rik,1423730_at,NA
C130065N10Rik,1438221_at,NA
C130076O07Rik,1434709_at,green
C130090K23Rik,1426268_at,grey
C1galt1,1450745_at,NA
C1galt1,1422772_at,NA
C1galt1c1,1416655_at,NA
C1qa,1417381_at,NA
C1qb,1417063_at,NA
C1qb,1437726_x_at,NA
C1qb,1434366_x_at,NA
C1qbp,1448274_at,NA
C1qbp,1455821_x_at,NA
C1qdc1,1427944_at,pink
C1qg,1449401_at,NA
C1ql1,1422777_at,NA
C1ql3,1451620_at,grey
C1ql3,1425176_at,grey
C1ql3,1425175_at,grey
C1ql3,1453578_at,greenyellow
C1qr1,1449521_at,NA
C1qr1,1419589_at,NA
C1qtnf1,1448912_at,NA
C1qtnf1,1455582_at,NA
C1qtnf3,1422606_at,NA
C1qtnf4,1417050_at,orange
C1qtnf5 /// Mfrp,1424762_at,red
C1qtnf6,1431856_a_at,NA
C1r,1417009_at,NA
C1s,1424041_s_at,NA
C2,1416051_at,NA
C230027N18Rik,1437111_at,green
C230043N17Rik,1425778_at,NA
C230052I12Rik,1454779_s_at,black
C230081A13Rik,1452413_at,NA
C230093N12Rik,1426894_s_at,grey
C230093N12Rik,1426893_at,midnightblue
C230094A16Rik,1425825_at,NA
C2ta,1421211_a_at,NA
C2ta,1421210_at,NA
C3,1423954_at,NA
C330003B14Rik,1419961_s_at,NA
C330003B14Rik,1419960_at,NA
C330003B14Rik,1419958_at,NA
C330003B14Rik,1419959_s_at,NA
C330006A16Rik,1433618_at,midnightblue
C330007P06Rik,1454174_a_at,NA
C330007P06Rik,1451202_at,NA
C330012H03Rik,1437103_at,NA
C330016K18Rik,1435420_at,NA
C330016O10Rik,1451123_at,NA
C330017I15Rik,1426631_at,NA
C330021A05Rik,1435117_a_at,blue
C330027C09Rik,1449698_at,NA
C330027C09Rik,1419998_at,NA
C330027C09Rik,1449699_s_at,NA
C330027G06Rik,1429558_a_at,yellow
C330027I04Rik,1451180_a_at,grey
C330027I04Rik,1430559_at,NA
C330027I04Rik,1449633_s_at,NA
C3ar1,1419483_at,NA
C3ar1,1419482_at,NA
C4,1418021_at,NA
C430004E15Rik,1426809_at,NA
C430010P07Rik,1436213_a_at,NA
C430010P07Rik,1455602_x_at,NA
C430010P07Rik,1436214_at,NA
C430014M02Rik,1455339_at,NA
C4bp,1418037_at,NA
C530030P08Rik,1441421_at,NA
C530043G21Rik,1451667_at,NA
C530043G21Rik,1451668_at,NA
C530044N13Rik,1426669_at,pink
C530046L02Rik,1448028_at,NA
C5r1,1422190_at,NA
C6,1449308_at,NA
C630002B14Rik,1427057_at,grey
C630004H02Rik,1423914_at,NA
C630013N10Rik,1452041_at,NA
C730025P13Rik,1426277_at,NA
C730036B14Rik,1447935_at,NA
C730036D15Rik,1425150_at,NA
C730048C13Rik,1436162_at,NA
C730048E16Rik,1438090_x_at,NA
C730048E16Rik,1451182_s_at,NA
C76132,1441146_at,NA
C76213,1457588_at,NA
C76332,1447990_at,NA
C76336,1448012_at,NA
C76472,1459893_at,NA
C76533,1448078_at,NA
C76554,1441394_at,NA
C76566,1435468_at,NA
C76614,1447956_at,NA
C76746,1456442_at,NA
C77027,1442941_at,NA
C77068,1459926_at,NA
C77080,1433775_at,NA
C77137,1447287_at,NA
C77140,1447952_at,NA
C77144,1419957_at,NA
C77144,1419956_at,NA
C77370,1419969_at,NA
C77370,1419968_at,NA
C77405,1448093_s_at,NA
C77545,1449654_s_at,NA
C77545,1419891_s_at,NA
C77604,1439466_s_at,NA
C77609,1442540_at,NA
C77614,1443352_at,NA
C77668,1423921_at,NA
C77668,1423922_s_at,NA
C77681,1442526_at,NA
C77691,1443472_at,NA
