Gene Symbol,Affymetrix ID,Module Assigned
1110014F24Rik,1428781_at,NA
1110014J01Rik,1448141_at,NA
1110014K08Rik,1456148_a_at,NA
1110014K08Rik,1436748_at,NA
1110014K08Rik /// LOC545968,1436747_at,NA
1110015K06Rik,1426943_at,grey
1110017C15Rik,1448480_at,NA
1110017O22Rik,1454813_at,NA
1110018J12Rik,1428655_at,NA
1110018J18Rik,1421018_at,NA
1110018M03Rik,1419376_at,NA
1110019C08Rik,1429555_at,purple
1110019C08Rik,1437399_at,NA
1110019C08Rik,1431293_a_at,brown
1110019J04Rik,1415733_a_at,NA
1110019N10Rik,1428874_at,NA
1110020A09Rik,1424541_at,turquoise
1110020C13Rik,1423686_a_at,NA
1110020L19Rik,1424277_at,NA
1110020P15Rik,1424364_a_at,NA
1110020P15Rik,1434341_x_at,NA
1110021J02Rik,1452437_at,NA
1110025L05Rik,1434545_x_at,yellow
1110025L05Rik,1434543_a_at,NA
1110025L05Rik,1455776_x_at,NA
1110025L05Rik,1434544_at,yellow
1110025L05Rik,1436639_at,NA
1110028A07Rik,1451488_at,NA
1110028E10Rik,1438559_x_at,NA
1110028E10Rik,1438860_a_at,NA
1110028E10Rik,1428065_at,NA
1110030H02Rik,1424844_at,NA
1110030H18Rik,1452663_at,midnightblue
1110030J09Rik,1417739_at,NA
1110030K22Rik,1419145_at,NA
1110030L07Rik,1455800_x_at,NA
1110030L07Rik,1428068_at,NA
1110031B06Rik,1423745_at,NA
1110031B06Rik,1438176_x_at,NA
1110031I02Rik,1418331_at,grey
1110031M08Rik,1434551_at,brown
1110031M08Rik,1415765_at,NA
1110032A03Rik,1417211_a_at,NA
1110032A04Rik,1417802_at,NA
1110032A04Rik,1417803_at,NA
1110032D12Rik,1436451_a_at,NA
1110032D12Rik,1455968_x_at,NA
1110032D12Rik,1420868_s_at,NA
1110032D12Rik,1436452_x_at,NA
1110032D12Rik,1420867_at,NA
1110032D12Rik,1431036_a_at,brown
1110032E23Rik,1416805_at,grey
1110032O16Rik,1424497_at,NA
1110033F04Rik,1421494_at,NA
1110033J19Rik,1452730_at,orange
1110033L15Rik,1453025_at,pink
1110033L15Rik,1432431_s_at,pink
1110033M05Rik,1419888_at,NA
1110033M05Rik,1419889_at,NA
1110034B05Rik,1434692_at,NA
1110034C04Rik,1435742_at,NA
1110034O07Rik,1453013_at,NA
1110035H17Rik,1453827_at,NA
1110035L05Rik,1455264_at,NA
1110035L05Rik,1448687_at,NA
1110035L05Rik,1417393_a_at,pink
1110035L05Rik,1439422_a_at,black
1110036O03Rik,1455288_at,NA
1110037F02Rik,1427906_at,NA
1110037F02Rik,1427907_at,NA
1110037N09Rik,1438216_at,NA
1110038D17Rik,1428071_at,NA
1110038F14Rik,1416885_at,NA
1110039B18Rik,1424805_a_at,NA
1110039B18Rik,1424806_s_at,NA
1110049F12Rik,1455974_at,NA
1110049F12Rik,1437233_x_at,NA
1110049F12Rik,1428675_at,grey
1110049G11Rik,1449213_at,NA
1110051M20Rik,1428501_at,NA
1110054M08Rik,1436187_at,NA
1110055J05Rik,1420550_at,NA
1110055N21Rik,1434011_a_at,NA
1110055N21Rik,1434012_at,NA
1110055N21Rik,1417887_at,NA
1110056N09Rik,1438578_a_at,green
1110057K04Rik,1428085_at,NA
1110057K04Rik,1436519_a_at,NA
1110057K04Rik,1437981_x_at,NA
1110058A15Rik,1449902_at,NA
1110058A15Rik,1421316_at,NA
1110058L19Rik,1418327_at,NA
1110059E24Rik,1416841_at,NA
1110059F07Rik,1436272_at,blue
1110059G10Rik,1418048_at,NA
1110059H15Rik,1460455_at,brown
1110059P08Rik,1415722_a_at,NA
1110060D06Rik,1430291_at,NA
1110060O18Rik,1451390_s_at,NA
1110060O18Rik,1424521_at,NA
1110061L23Rik,1452726_a_at,midnightblue
1110061N23Rik,1435105_at,NA
1110061O04Rik,1425066_a_at,NA
1110062M06Rik,1455040_s_at,NA
1110064P04Rik,1435160_at,NA
1110067D22Rik,1424318_at,NA
1110067D22Rik,1451313_a_at,NA
1190002C06Rik,1451215_at,NA
1190002C06Rik,1424058_at,NA
1190002H23Rik,1438511_a_at,NA
1190002H23Rik,1418003_at,NA
1190002N15Rik,1433581_at,red
1190002N15Rik,1433582_at,NA
1190003K14Rik,1424509_at,NA
1190005F20Rik,1426879_at,NA
1190005I06Rik,1452609_at,NA
1190005P17Rik,1428475_at,midnightblue
1190017O12Rik,1417402_at,yellow
1200002M06Rik,1424213_at,red
1200002N14Rik,1424524_at,NA
1200003C05Rik,1451238_at,NA
1200003C05Rik,1424106_at,NA
1200003E16Rik,1452714_at,orange
1200003I07Rik,1429473_at,NA
1200003I10Rik /// 1200016E24Rik /// A130040M12Rik /// E430024C06Rik /// LOC433071 /// LOC546178 /// LOC547372,1427932_s_at,NA
1200003M09Rik,1456579_x_at,NA
1200003M09Rik,1423888_at,NA
