"","gene","Neuron","Astrocyte","Oligodendrocyte","Microglia","Endothelial"
"ENSG00000154359","LONRF1",6.2,3.30833333333333,3.62,14.3,1.8
"ENSG00000170500","LONRF2",17.3,3.1,1.5,0.1,0.7
"ENSG00000175556","LONRF3",2,1.00833333333333,0.22,2.56666666666667,0.6
"ENSG00000203782","LOR",0.1,0.1,0.1,0.1,0.1
"ENSG00000113083","LOX",0.6,0.191666666666667,0.16,0.2,0.1
"ENSG00000167210","LOXHD1",0.3,0.1,0.1,0.1,0.1
"ENSG00000129038","LOXL1",0.1,0.141666666666667,0.1,0.1,0.1
"ENSG00000134013","LOXL2",0.1,0.133333333333333,0.1,0.1,0.15
"ENSG00000115318","LOXL3",0.1,0.975,0.46,3.93333333333333,0.25
"ENSG00000138131","LOXL4",0.1,0.225,0.12,0.133333333333333,0.15
"ENSG00000198670","LPA",0.1,0.1,0.1,0.1,0.1
"ENSG00000213071","LPAL2",0.3,0.108333333333333,0.12,0.1,0.1
"ENSG00000198121","LPAR1",3.4,13.9,138.34,7,4.1
"ENSG00000064547","LPAR2",0.4,0.125,0.26,1.3,0.1
"ENSG00000171517","LPAR3",0.1,0.9,0.1,0.1,0.1
"ENSG00000147145","LPAR4",0.1,0.45,0.24,0.1,0.25
"ENSG00000184574","LPAR5",0.2,0.566666666666667,1.92,20.0333333333333,0.2
"ENSG00000139679","LPAR6",0.7,0.55,2.92,32.2,12.4
"ENSG00000275079","LPCAT1",2.8,2.36666666666667,0.8,5.36666666666667,0.55
"ENSG00000087253","LPCAT2",3.2,0.791666666666667,6.18,64.7333333333333,0.45
"ENSG00000111684","LPCAT3",1.3,1.71666666666667,1.72,1.73333333333333,1.9
"ENSG00000176454","LPCAT4",0.9,0.533333333333333,0.18,0.133333333333333,1.2
"ENSG00000123684","LPGAT1",12,1.81666666666667,19.04,3.5,2
"ENSG00000134324","LPIN1",7.9,12.75,2.6,2.03333333333333,1.25
"ENSG00000101577","LPIN2",9.1,7.475,2.36,9.16666666666667,1.35
"ENSG00000132793","LPIN3",0.1,0.375,0.1,0.166666666666667,0.15
"ENSG00000175445","LPL",1.9,0.558333333333333,1.82,14.8333333333333,5.8
"ENSG00000167419","LPO",0.1,0.1,0.1,0.1,0.1
"ENSG00000145012","LPP",1.6,5.29166666666667,1.38,4.7,2.4
"ENSG00000270959","LPP-AS2",0.1,2.65833333333333,0.32,0.1,0.9
"ENSG00000110031","LPXN",0.4,1.325,2,15.3,0.25
"ENSG00000121207","LRAT",0.2,0.908333333333333,0.28,0.1,0.1
"ENSG00000198589","LRBA",2.9,3.38333333333333,2.62,5.3,2.05
"ENSG00000136141","LRCH1",2.3,0.791666666666667,0.9,9.46666666666667,4.9
"ENSG00000130224","LRCH2",4.8,2.71666666666667,1.82,0.1,0.45
"ENSG00000186001","LRCH3",4.8,5.13333333333333,8.12,5.83333333333333,5.25
"ENSG00000077454","LRCH4",0.1,0.141666666666667,0.1,0.133333333333333,0.1
"ENSG00000128011","LRFN1",0.2,0.125,0.1,0.1,0.1
"ENSG00000156564","LRFN2",0.1,0.108333333333333,0.1,0.1,0.15
"ENSG00000126243","LRFN3",0.3,0.441666666666667,0.3,0.1,0.3
"ENSG00000173621","LRFN4",0.1,0.133333333333333,0.1,0.1,0.1
"ENSG00000165379","LRFN5",9.3,0.608333333333333,1.36,0.1,0.55
"ENSG00000171236","LRG1",0.1,0.1,0.12,0.133333333333333,0.35
"ENSG00000155530","LRGUK",0.5,0.208333333333333,0.28,0.133333333333333,0.35
"ENSG00000121931","LRIF1",3.4,1.925,0.98,1.3,0.7
"ENSG00000144749","LRIG1",5.3,69.3083333333333,5.44,2.7,2.1
"ENSG00000198799","LRIG2",1.7,2.91666666666667,2.54,1.13333333333333,1
"ENSG00000139263","LRIG3",0.4,1.39166666666667,2.16,0.133333333333333,2
"ENSG00000148602","LRIT1",0.1,0.1,0.1,0.1,0.1
"ENSG00000204033","LRIT2",0.5,0.1,0.1,0.1,0.1
"ENSG00000183423","LRIT3",0.1,0.116666666666667,0.14,0.1,0.1
"ENSG00000118308","LRMP",1.4,0.3,1.32,14.6666666666667,0.7
"ENSG00000123384","LRP1",0.4,6.74166666666667,1,1.73333333333333,1.1
"ENSG00000197324","LRP10",0.2,4.04166666666667,0.78,1.93333333333333,3.05
"ENSG00000120256","LRP11",11.9,2.225,2.32,0.533333333333333,2.3
"ENSG00000147650","LRP12",6.1,3.24166666666667,1.38,1.3,0.5
"ENSG00000168702","LRP1B",13.1,13.8833333333333,4.38,0.833333333333333,0.65
"ENSG00000081479","LRP2",0.3,0.183333333333333,3.86,0.1,0.1
"ENSG00000109771","LRP2BP",2.3,1.39166666666667,0.7,0.266666666666667,0.35
"ENSG00000130881","LRP3",0.1,0.4,0.1,0.1,0.2
"ENSG00000134569","LRP4",1.7,22.675,6,0.133333333333333,0.55
"ENSG00000162337","LRP5",0.1,0.133333333333333,0.1,0.1,0.15
"ENSG00000100068","LRP5L",0.2,0.491666666666667,0.14,0.133333333333333,0.3
"ENSG00000070018","LRP6",3.2,4.475,6.52,1,0.7
"ENSG00000157193","LRP8",10.3,6.33333333333333,1.12,1.2,7.3
"ENSG00000163956","LRPAP1",0.5,0.616666666666667,0.3,0.4,0.5
"ENSG00000138095","LRPPRC",17.6,6.71666666666667,7.5,5.8,1.95
"ENSG00000165501","LRR1",0.3,0.425,0.34,1.1,0.15
"ENSG00000137269","LRRC1",0.6,1.48333333333333,2.04,0.2,0.55
"ENSG00000198812","LRRC10",0.1,0.1,0.1,0.1,0.1
"ENSG00000204950","LRRC10B",0.1,0.1,0.1,0.1,0.15
"ENSG00000160959","LRRC14",0.1,0.191666666666667,0.1,0.1,0.1
"ENSG00000185028","LRRC14B",0.1,0.1,0.1,0.1,0.1
"ENSG00000172061","LRRC15",0.1,0.1,0.1,0.1,0.1
"ENSG00000079691","LRRC16A",3.3,33.475,0.68,3.16666666666667,0.85
"ENSG00000186648","LRRC16B",0.1,0.216666666666667,0.1,0.1,0.25
"ENSG00000128606","LRRC17",1.1,0.408333333333333,0.2,0.1,2.8
"ENSG00000165383","LRRC18",0.1,0.1,0.1,0.3,0.1
"ENSG00000184434","LRRC19",0.1,0.2,0.1,0.1,0.1
"ENSG00000163827","LRRC2",1.1,0.125,0.14,0.1,0.15
"ENSG00000172731","LRRC20",0.7,0.683333333333333,0.2,0.133333333333333,0.15
"ENSG00000010626","LRRC23",1.4,1.175,0.6,0.333333333333333,0.35
"ENSG00000254402","LRRC24",0.1,0.1,0.1,0.1,0.1
"ENSG00000175489","LRRC25",0.1,0.1,0.16,0.6,0.1
"ENSG00000184709","LRRC26",0.1,0.1,0.1,0.1,0.1
"ENSG00000148814","LRRC27",0.9,1.25,0.32,0.233333333333333,0.15
"ENSG00000168904","LRRC28",3.6,2.025,1.7,1.16666666666667,0.95
"ENSG00000125122","LRRC29",0.1,0.1,0.1,0.1,0.1
"ENSG00000160233","LRRC3",0.1,0.125,0.1,0.1,0.1
"ENSG00000206422","LRRC30",0.1,0.1,0.1,0.1,0.1
"ENSG00000114248","LRRC31",0.1,0.1,0.1,0.1,0.1
"ENSG00000137507","LRRC32",0.1,0.1,0.1,0.1,3.45
"ENSG00000171757","LRRC34",0.8,2.48333333333333,0.92,0.166666666666667,0.3
"ENSG00000159708","LRRC36",0.4,0.116666666666667,0.1,0.266666666666667,0.3
"ENSG00000278742","LRRC37A",1.6,0.95,0.48,0.8,0.7
"ENSG00000277221","LRRC37A2",1.5,0.8,0.4,0.733333333333333,0.95
"ENSG00000176809","LRRC37A3",2.6,1.675,0.56,0.766666666666667,0.7
"ENSG00000185158","LRRC37B",5.6,4.74166666666667,3.04,1.56666666666667,1.3
"ENSG00000250462","LRRC37BP1",1.7,2.11666666666667,1.8,1.56666666666667,1
"ENSG00000162494","LRRC38",0.1,0.1,0.1,0.1,0.1
"ENSG00000122477","LRRC39",6.4,1.16666666666667,0.88,0.666666666666667,1.6
"ENSG00000179796","LRRC3B",8.2,29.7166666666667,1.18,0.1,0.5
"ENSG00000204913","LRRC3C",0.1,0.1,0.1,0.1,0.1
"ENSG00000128594","LRRC4",3.9,1.725,1.2,3.06666666666667,0.4
"ENSG00000066557","LRRC40",7.6,2.25833333333333,1.84,1.86666666666667,1.2
"ENSG00000132128","LRRC41",1.8,2.63333333333333,1.58,2.13333333333333,1.95
"ENSG00000116212","LRRC42",2.1,2.25,1.8,2.4,1.1
"ENSG00000158113","LRRC43",0.1,0.125,0.1,0.1,0.1
"ENSG00000169683","LRRC45",0.1,0.1,0.1,0.1,0.1
"ENSG00000141294","LRRC46",0.3,0.1,0.1,0.1,0.1
"ENSG00000130764","LRRC47",5.3,1.89166666666667,2.1,0.566666666666667,0.9
"ENSG00000137821","LRRC49",11,5.95833333333333,1.98,0.333333333333333,1.25
"ENSG00000131409","LRRC4B",0.1,0.133333333333333,0.1,0.1,0.1
"ENSG00000148948","LRRC4C",8.9,2.24166666666667,5.54,0.133333333333333,0.5
"ENSG00000162763","LRRC52",0.1,0.166666666666667,0.1,0.1,0.1
"ENSG00000183908","LRRC55",1.2,0.158333333333333,0.1,0.1,0.4
"ENSG00000273831","LRRC56",0.1,0.1,0.1,0.1,0.1
"ENSG00000180979","LRRC57",0.9,1.31666666666667,0.66,0.766666666666667,0.85
"ENSG00000163428","LRRC58",3.5,5.05,3.5,2.3,1.4
"ENSG00000108829","LRRC59",4.1,3.225,3.42,6.5,1.3
"ENSG00000129295","LRRC6",4.9,5.98333333333333,1.94,0.333333333333333,4.6
"ENSG00000127399","LRRC61",0.1,0.116666666666667,0.14,0.1,0.1
"ENSG00000188993","LRRC66",0.7,0.141666666666667,0.12,0.1,0.1
"ENSG00000214954","LRRC69",0.1,0.1,0.1,0.2,0.3
"ENSG00000033122","LRRC7",16.2,0.5,3.16,0.133333333333333,1.1
"ENSG00000186105","LRRC70",0.4,0.191666666666667,0.34,0.833333333333333,2.6
"ENSG00000160838","LRRC71",0.1,0.1,0.1,0.1,0.1
"ENSG00000205858","LRRC72",0.1,0.1,0.1,0.1,0.1
"ENSG00000204052","LRRC73",0.1,0.133333333333333,0.1,0.1,0.1
"ENSG00000136802","LRRC8A",1,11.4,0.66,0.366666666666667,3.65
"ENSG00000197147","LRRC8B",15.7,0.875,3.42,1.96666666666667,1.05
"ENSG00000171488","LRRC8C",3.5,2.59166666666667,2.58,11.8,9.3
"ENSG00000171492","LRRC8D",6.9,3.20833333333333,14.58,3.83333333333333,0.55
"ENSG00000171017","LRRC8E",0.1,0.1,0.1,0.1,0.1
"ENSG00000133739","LRRCC1",1.4,1.45,2.88,0.733333333333333,0.75
"ENSG00000240720","LRRD1",0.5,0.116666666666667,0.1,0.1,0.1
"ENSG00000124831","LRRFIP1",8,2.53333333333333,1.9,18.8,2.45
"ENSG00000093167","LRRFIP2",11.5,5.44166666666667,10.06,2.43333333333333,3
"ENSG00000133640","LRRIQ1",0.2,0.141666666666667,0.1,0.1,0.1
"ENSG00000162620","LRRIQ3",0.1,0.1,0.1,0.1,0.1
"ENSG00000188306","LRRIQ4",0.3,0.108333333333333,0.1,0.1,0.25
"ENSG00000154237","LRRK1",0.5,0.116666666666667,0.36,3.5,0.15
"ENSG00000188906","LRRK2",1.8,1.28333333333333,2.66,4.3,0.65
"ENSG00000175928","LRRN1",10.6,10.7166666666667,22.42,0.3,0.6
"ENSG00000170382","LRRN2",0.2,1.20833333333333,0.36,0.1,0.3
"ENSG00000173114","LRRN3",13.6,9.78333333333333,2.58,0.333333333333333,0.65
"ENSG00000125872","LRRN4",0.1,0.1,0.1,0.1,0.1
"ENSG00000177363","LRRN4CL",0.2,0.1,0.1,0.1,0.1
"ENSG00000162951","LRRTM1",1,0.15,0.16,0.1,0.15
"ENSG00000146006","LRRTM2",50.5,3.45,10.96,1.9,0.8
"ENSG00000198739","LRRTM3",10.6,0.375,6.02,0.1,0.35
"ENSG00000176204","LRRTM4",12,1.71666666666667,5.28,0.133333333333333,0.5
"ENSG00000148356","LRSAM1",0.5,0.716666666666667,0.3,0.433333333333333,0.35
"ENSG00000144771","LRTM1",0.4,0.108333333333333,0.1,0.1,0.1
"ENSG00000166159","LRTM2",0.5,0.1,0.1,0.1,0.1
"ENSG00000184154","LRTOMT",0.9,1.775,0.68,0.2,0.1
"ENSG00000161036","LRWD1",0.2,0.108333333333333,0.1,0.1,0.1
"ENSG00000185565","LSAMP",30.4,33.525,7.18,0.2,2.15
"ENSG00000041802","LSG1",2.8,2.05833333333333,1.76,2.5,1.9
"ENSG00000175324","LSM1",10.4,11.3916666666667,8.88,4.93333333333333,5
"ENSG00000181817","LSM10",0.7,1.9,1.62,1.03333333333333,1.95
"ENSG00000155858","LSM11",0.8,0.125,0.26,0.2,0.1
"ENSG00000161654","LSM12",4.6,2.625,2.02,1.66666666666667,1.55
"ENSG00000262860","LSM14A",13.7,10.725,13.42,9,6.6
"ENSG00000149657","LSM14B",1.7,0.875,0.54,0.333333333333333,0.15
"ENSG00000224979","LSM2",0.4,0.5,1.08,0.233333333333333,0.2
"ENSG00000170860","LSM3",19.4,16.825,21.68,11.3,12.35
"ENSG00000130520","LSM4",2.2,1.7,1.46,1,1.25
"ENSG00000106355","LSM5",3.9,2.8,2.12,1.06666666666667,0.8
"ENSG00000164167","LSM6",9.3,6.25833333333333,5.44,2.76666666666667,1.1
"ENSG00000130332","LSM7",0.1,0.391666666666667,0.66,0.7,0.1
"ENSG00000130592","LSP1",0.1,0.1,0.1,0.166666666666667,0.1
"ENSG00000105699","LSR",0.1,0.108333333333333,0.1,0.1,1.25
"ENSG00000281289","LSS",1.2,1.625,1.4,0.166666666666667,0.6
"ENSG00000204482","LST1",0.1,0.125,0.2,2.2,0.1
"ENSG00000231408","LTA",0.1,0.1,0.1,0.1,0.1
"ENSG00000111144","LTA4H",9.4,6.34166666666667,4.18,5.26666666666667,3
"ENSG00000236925","LTB",0.1,0.1,0.1,0.1,0.1
"ENSG00000213903","LTB4R",0.2,0.133333333333333,0.16,0.466666666666667,0.15
"ENSG00000213906","LTB4R2",0.2,0.1,0.1,0.1,0.1
"ENSG00000049323","LTBP1",1.2,5.98333333333333,1.58,0.1,1
"ENSG00000119681","LTBP2",0.4,0.366666666666667,0.18,0.866666666666667,0.1
"ENSG00000168056","LTBP3",0.1,0.5,0.12,0.1,0.25
"ENSG00000090006","LTBP4",0.1,0.1,0.1,0.1,0.1
"ENSG00000111321","LTBR",0.1,0.625,0.22,0.633333333333333,0.6
"ENSG00000213316","LTC4S",0.1,0.1,0.1,0.1,0.1
"ENSG00000012223","LTF",0.1,0.1,0.1,0.1,0.4
"ENSG00000062524","LTK",0.1,0.1,0.1,0.1,0.1
"ENSG00000198862","LTN1",4.5,2.85,3.5,2.5,1.2
"ENSG00000135521","LTV1",6.9,4.56666666666667,6.5,7.4,1.9
"ENSG00000007392","LUC7L",9.4,6.325,5.94,3.56666666666667,1.4
"ENSG00000146963","LUC7L2",18.7,11.0083333333333,17.58,11.4,6.2
"ENSG00000108848","LUC7L3",58.8,40.5916666666667,32.88,33.6666666666667,7.1
"ENSG00000139329","LUM",1.3,0.175,0.1,0.1,3.95
"ENSG00000171357","LURAP1",1.3,0.333333333333333,1,0.266666666666667,0.2
"ENSG00000153714","LURAP1L",3.4,0.108333333333333,1.4,0.1,0.15
"ENSG00000169641","LUZP1",4.6,3.55833333333333,1.04,8.83333333333333,2.25
"ENSG00000187398","LUZP2",8.1,5.18333333333333,10.32,0.133333333333333,0.7
"ENSG00000102021","LUZP4",0.1,0.1,0.1,0.1,0.1
"ENSG00000079257","LXN",0.8,0.225,0.32,0.8,2.05
"ENSG00000167656","LY6D",0.1,0.1,0.1,0.1,0.1
"ENSG00000160932","LY6E",0.1,0.166666666666667,0.1,0.133333333333333,7.25
"ENSG00000240053","LY6G5B",0.4,0.25,0.1,0.4,0.15
"ENSG00000228883","LY6G5C",0.5,0.258333333333333,0.14,0.266666666666667,0.2
"ENSG00000228250","LY6G6C",0.1,0.1,0.1,0.1,0.1
"ENSG00000234443","LY6G6D",0.1,0.1,0.1,0.1,0.1
"ENSG00000237482","LY6G6E",0.1,0.1,0.1,0.1,0.1
"ENSG00000243003","LY6G6F",0.1,0.1,0.1,0.1,0.1
"ENSG00000274488","LY6H",0.3,0.116666666666667,0.2,0.1,0.2
"ENSG00000160886","LY6K",0.1,0.1,0.12,0.133333333333333,0.1
"ENSG00000054219","LY75",0.1,0.1,0.44,5.96666666666667,1.15
"ENSG00000248672","LY75-CD302",0.1,0.133333333333333,0.16,0.1,0.1
"ENSG00000112799","LY86",0.1,1.61666666666667,5.3,58.0333333333333,0.6
"ENSG00000216863","LY86-AS1",1.1,0.116666666666667,0.14,0.1,0.45
"ENSG00000122224","LY9",0.1,0.1,0.1,0.1,0.1
"ENSG00000154589","LY96",0.1,0.1,0.8,4.93333333333333,0.55
"ENSG00000145220","LYAR",1.5,1.21666666666667,1.64,2.86666666666667,1.25
"ENSG00000144214","LYG1",1.2,0.233333333333333,0.64,0.1,0.15
"ENSG00000185674","LYG2",0.1,0.108333333333333,0.12,0.1,0.15
"ENSG00000104903","LYL1",0.1,0.1,0.1,0.1,0.1
"ENSG00000254087","LYN",0.2,3.64166666666667,2.16,27.9,1.1
"ENSG00000180155","LYNX1",0.3,0.991666666666667,0.18,0.166666666666667,0.25
