"","gene","Neuron","Astrocyte","Oligodendrocyte","Microglia","Endothelial"
"ENSG00000121410","A1BG",0.1,0.1,0.1,0.1,0.1
"ENSG00000268895","A1BG-AS1",0.5,0.166666666666667,0.1,0.233333333333333,0.15
"ENSG00000148584","A1CF",0.1,0.1,0.1,0.1,0.1
"ENSG00000175899","A2M",4.8,6.15833333333333,35.36,333.066666666667,184.3
"ENSG00000166535","A2ML1",0.1,3.65833333333333,0.12,0.1,0.2
"ENSG00000256069","A2MP1",0.2,0.175,0.12,0.4,0.35
"ENSG00000128274","A4GALT",0.1,0.1,0.1,0.1,0.25
"ENSG00000118017","A4GNT",0.1,0.116666666666667,0.1,0.133333333333333,0.1
"ENSG00000265544","AA06",0.1,0.1,0.1,0.1,0.1
"ENSG00000094914","AAAS",0.8,3.55,1.56,0.766666666666667,2.65
"ENSG00000081760","AACS",0.7,0.458333333333333,0.28,0.233333333333333,0.1
"ENSG00000250420","AACSP1",0.1,0.1,0.1,0.1,0.1
"ENSG00000114771","AADAC",0.1,0.1,0.1,0.1,0.1
"ENSG00000261846","AADACL2",0.1,0.1,0.1,0.1,0.1
"ENSG00000188984","AADACL3",0.1,0.1,0.1,0.1,0.1
"ENSG00000204518","AADACL4",0.1,0.1,0.1,0.1,0.1
"ENSG00000109576","AADAT",6.3,10.5,4.08,0.166666666666667,0.45
"ENSG00000103591","AAGAB",2.3,1.28333333333333,0.82,1.13333333333333,0.45
"ENSG00000115977","AAK1",13.1,2.5,1.58,4.1,1.35
"ENSG00000127837","AAMP",1.9,2.11666666666667,1.96,1.83333333333333,0.6
"ENSG00000129673","AANAT",0.1,0.1,0.1,0.333333333333333,0.1
"ENSG00000090861","AARS",10,9.69166666666667,7.34,3.8,1.85
"ENSG00000124608","AARS2",0.3,0.408333333333333,0.34,0.266666666666667,0.3
"ENSG00000266967","AARSD1",2.8,1.05,0.78,0.633333333333333,0.4
"ENSG00000157426","AASDH",2.9,4.79166666666667,2.06,1.2,0.6
"ENSG00000149313","AASDHPPT",22.6,4.11666666666667,5.9,1.4,0.85
"ENSG00000008311","AASS",1.3,10.5,5.14,2.66666666666667,1.45
"ENSG00000276072","AATF",5.8,4.84166666666667,8.96,6.06666666666667,4.1
"ENSG00000181409","AATK",0.2,0.275,1.6,0.1,0.1
"ENSG00000225180","AATK-AS1",0.1,0.1,0.1,0.1,0.1
"ENSG00000183044","ABAT",36.8,22.1,6.84,1.53333333333333,1.85
"ENSG00000165029","ABCA1",2.9,12.2,2.4,9.7,1.4
"ENSG00000154263","ABCA10",0.5,0.1,0.1,0.1,0.2
"ENSG00000251595","ABCA11P",4.6,1.44166666666667,1.34,1.06666666666667,0.45
"ENSG00000144452","ABCA12",0.1,0.116666666666667,0.1,0.1,0.1
"ENSG00000179869","ABCA13",0.1,0.1,0.1,0.1,0.1
"ENSG00000238098","ABCA17P",0.1,0.1,0.1,0.1,0.1
"ENSG00000107331","ABCA2",0.1,0.525,0.6,0.1,0.25
"ENSG00000167972","ABCA3",0.5,2.025,0.34,0.1,0.65
"ENSG00000198691","ABCA4",0.1,0.166666666666667,0.1,0.1,0.1
"ENSG00000154265","ABCA5",3,0.15,0.66,0.133333333333333,0.3
"ENSG00000154262","ABCA6",0.8,0.1,0.32,0.333333333333333,0.2
"ENSG00000064687","ABCA7",0.1,0.1,0.1,0.1,0.1
"ENSG00000141338","ABCA8",1.2,0.458333333333333,18.42,0.2,1.95
"ENSG00000154258","ABCA9",1.5,0.1,0.1,0.166666666666667,1.75
"ENSG00000085563","ABCB1",0.4,0.108333333333333,0.1,0.1,18.5
"ENSG00000135776","ABCB10",2.4,1.475,1.08,0.866666666666667,0.55
"ENSG00000073734","ABCB11",0.1,0.1,0.1,0.1,0.1
"ENSG00000005471","ABCB4",0.2,0.1,0.14,1.5,0.35
"ENSG00000004846","ABCB5",0.3,0.1,0.1,0.1,0.1
"ENSG00000115657","ABCB6",1.4,1.475,0.5,0.133333333333333,0.25
"ENSG00000131269","ABCB7",2.5,3.45,2.92,4.06666666666667,1.25
"ENSG00000197150","ABCB8",0.8,0.391666666666667,0.28,0.133333333333333,0.1
"ENSG00000150967","ABCB9",0.1,0.308333333333333,0.1,0.1,0.1
"ENSG00000278183","ABCC1",1.1,0.316666666666667,0.1,0.7,0.15
"ENSG00000124574","ABCC10",0.3,0.25,0.14,0.166666666666667,0.1
"ENSG00000121270","ABCC11",0.1,0.183333333333333,0.1,0.1,0.1
"ENSG00000140798","ABCC12",0.1,0.1,0.1,0.1,0.1
"ENSG00000243064","ABCC13",0.1,0.1,0.1,0.266666666666667,0.1
"ENSG00000023839","ABCC2",0.1,0.1,0.1,0.166666666666667,0.1
"ENSG00000108846","ABCC3",0.1,0.1,0.1,0.1,0.1
"ENSG00000125257","ABCC4",0.3,0.583333333333333,1.02,15.6,0.35
"ENSG00000114770","ABCC5",11.3,1.81666666666667,4.02,2,0.85
"ENSG00000091262","ABCC6",0.5,0.675,0.1,0.1,0.4
"ENSG00000256340","ABCC6P1",0.1,0.1,0.14,0.1,0.3
"ENSG00000273808","ABCC6P2",0.1,0.4,0.1,0.1,0.1
"ENSG00000006071","ABCC8",0.5,0.875,0.26,0.1,0.1
"ENSG00000069431","ABCC9",0.6,10.275,0.2,0.1,6.55
"ENSG00000101986","ABCD1",0.1,0.1,0.1,0.1,0.1
"ENSG00000173208","ABCD2",2.4,9.28333333333333,0.22,0.1,0.15
"ENSG00000117528","ABCD3",6.2,8.19166666666667,6.24,2.1,4.55
"ENSG00000119688","ABCD4",1.1,2.9,1.28,1.36666666666667,0.7
"ENSG00000164163","ABCE1",5.9,3.23333333333333,5.48,8.3,0.85
"ENSG00000236342","ABCF1",0.4,0.425,0.46,0.466666666666667,0.2
"ENSG00000033050","ABCF2",1.7,2.575,1.8,1.56666666666667,0.7
"ENSG00000161204","ABCF3",0.8,1.2,0.4,0.7,0.9
"ENSG00000160179","ABCG1",1.4,0.483333333333333,6.84,3.66666666666667,2.3
"ENSG00000118777","ABCG2",0.6,0.241666666666667,0.62,6.6,48.2
"ENSG00000172350","ABCG4",0.3,0.166666666666667,0.1,0.1,0.15
"ENSG00000138075","ABCG5",0.3,0.116666666666667,0.1,0.1,0.1
"ENSG00000143921","ABCG8",0.1,0.1,0.1,0.1,0.1
"ENSG00000143994","ABHD1",0.1,0.158333333333333,0.1,0.1,0.15
"ENSG00000144827","ABHD10",11.7,6.46666666666667,7.4,1.86666666666667,1.35
"ENSG00000106077","ABHD11",0.6,1.48333333333333,0.48,1.96666666666667,0.7
"ENSG00000225969","ABHD11-AS1",0.1,0.108333333333333,0.1,0.1,0.1
"ENSG00000100997","ABHD12",2.1,1.49166666666667,2,2.3,1.15
"ENSG00000131969","ABHD12B",0.1,0.175,1.6,0.333333333333333,0.1
"ENSG00000139826","ABHD13",2.4,0.85,1.2,2.03333333333333,0.75
"ENSG00000248487","ABHD14A",0.3,1.18333333333333,0.22,0.233333333333333,0.5
"ENSG00000114786","ABHD14A-ACY1",0.1,0.1,0.1,0.1,0.1
"ENSG00000114779","ABHD14B",0.1,0.908333333333333,0.62,1.53333333333333,2.4
"ENSG00000168792","ABHD15",0.1,1.20833333333333,0.5,2.46666666666667,0.1
"ENSG00000224552","ABHD16A",0.3,0.308333333333333,0.24,0.266666666666667,0.1
"ENSG00000183260","ABHD16B",0.1,0.1,0.1,0.133333333333333,0.1
"ENSG00000140526","ABHD2",9.3,19.375,18.8,4,5.1
"ENSG00000158201","ABHD3",2.7,8.74166666666667,1.82,7.83333333333333,0.4
"ENSG00000100439","ABHD4",1.2,6.21666666666667,2.6,1.16666666666667,2.05
"ENSG00000011198","ABHD5",2.1,3.24166666666667,1.96,2.1,0.7
"ENSG00000163686","ABHD6",2.6,2.43333333333333,5.26,0.466666666666667,0.75
"ENSG00000127220","ABHD8",0.1,0.1,0.1,0.1,0.1
"ENSG00000136754","ABI1",20.1,24.8583333333333,6.04,22.1666666666667,4.85
"ENSG00000138443","ABI2",19.9,24.5083333333333,11.54,4.36666666666667,5.2
"ENSG00000108798","ABI3",0.1,0.116666666666667,0.42,3.6,0.45
"ENSG00000154175","ABI3BP",2.5,0.35,0.1,0.2,0.65
"ENSG00000097007","ABL1",0.6,2.16666666666667,1.58,1.13333333333333,1.35
"ENSG00000143322","ABL2",3.5,1.95,3,26.9666666666667,1.25
"ENSG00000099204","ABLIM1",18.8,39.95,1.88,0.233333333333333,25
"ENSG00000163995","ABLIM2",1.5,0.283333333333333,0.32,0.133333333333333,0.45
"ENSG00000173210","ABLIM3",2.5,1.83333333333333,0.98,0.166666666666667,4.4
"ENSG00000175164","ABO",0.1,0.1,0.1,0.1,0.1
"ENSG00000278741","ABR",4.2,11.675,1.02,7.46666666666667,3.5
"ENSG00000174429","ABRA",0.8,0.1,0.1,0.966666666666667,0.1
"ENSG00000146109","ABT1",1,0.625,1.18,1.56666666666667,0.3
"ENSG00000114626","ABTB1",0.1,0.166666666666667,0.14,0.233333333333333,0.35
"ENSG00000166016","ABTB2",0.2,1.15,1.02,0.1,0.2
"ENSG00000060971","ACAA1",3.4,5.4,3.42,2.56666666666667,1.05
"ENSG00000167315","ACAA2",5.2,56.0166666666667,12.06,11.7,5.35
"ENSG00000275176","ACACA",6.8,6.08333333333333,4.6,1.63333333333333,1.6
"ENSG00000076555","ACACB",0.1,4.81666666666667,0.48,0.166666666666667,1.05
"ENSG00000111271","ACAD10",0.5,0.75,0.3,0.3,0.15
"ENSG00000240303","ACAD11",1.6,2.58333333333333,2.52,1.33333333333333,0.35
"ENSG00000151498","ACAD8",6,4.8,3.04,1.43333333333333,0.75
"ENSG00000177646","ACAD9",2,1.31666666666667,0.76,0.766666666666667,0.25
"ENSG00000115361","ACADL",1.9,0.916666666666667,0.28,0.1,0.15
"ENSG00000117054","ACADM",13.7,17.425,9.86,6.83333333333333,3.35
"ENSG00000122971","ACADS",0.1,0.141666666666667,0.1,0.1,0.1
"ENSG00000196177","ACADSB",7.6,6.43333333333333,3.14,1.5,0.75
"ENSG00000072778","ACADVL",1.7,13.15,1.58,1.96666666666667,4.75
"ENSG00000157766","ACAN",0.1,0.1,0.1,0.1,0.1
"ENSG00000072818","ACAP1",0.1,0.1,0.1,0.1,0.1
"ENSG00000114331","ACAP2",2.1,6.375,3.22,5.56666666666667,1.7
"ENSG00000131584","ACAP3",0.1,0.1,0.1,0.1,0.1
"ENSG00000075239","ACAT1",17,13.05,7.68,4.2,3.4
"ENSG00000120437","ACAT2",11.9,7.90833333333333,7.82,2.13333333333333,0.1
"ENSG00000182827","ACBD3",6.7,4.525,4.66,6.03333333333333,2.2
"ENSG00000181513","ACBD4",0.1,0.208333333333333,0.1,0.1,0.1
"ENSG00000107897","ACBD5",11.3,21.0083333333333,18.22,5.56666666666667,3.75
"ENSG00000230124","ACBD6",4.8,2.86666666666667,2.9,1.83333333333333,2.9
"ENSG00000176244","ACBD7",1.7,21.6416666666667,0.62,0.133333333333333,0.65
"ENSG00000262505","ACCN5",0.2,0.1,0.1,0.1,0.1
"ENSG00000110455","ACCS",0.1,0.45,0.12,0.333333333333333,0.1
"ENSG00000205126","ACCSL",0.1,0.1,0.1,0.1,0.1
"ENSG00000102977","ACD",0.1,0.325,0.1,0.1,0.95
"ENSG00000159640","ACE",0.1,0.1,0.1,0.1,0.4
"ENSG00000130234","ACE2",0.1,0.1,0.1,0.1,0.1
"ENSG00000167769","ACER1",0.1,0.1,0.1,0.1,0.1
"ENSG00000177076","ACER2",0.4,0.233333333333333,0.16,0.266666666666667,2.95
"ENSG00000078124","ACER3",3.4,6,7.58,3,1.15
"ENSG00000087085","ACHE",0.2,0.1,0.1,0.1,0.1
"ENSG00000100813","ACIN1",3.6,3.61666666666667,2.96,4.26666666666667,1.8
"ENSG00000131473","ACLY",5.3,4.3,3.42,3.16666666666667,2.55
"ENSG00000153086","ACMSD",0.1,0.1,0.1,0.1,0.1
"ENSG00000122729","ACO1",7.5,11.2833333333333,3.4,2.26666666666667,1.95
"ENSG00000100412","ACO2",3.6,11.9333333333333,2.9,1.26666666666667,2.6
"ENSG00000184227","ACOT1",3.1,3.10833333333333,0.44,0.466666666666667,0.4
"ENSG00000162390","ACOT11",0.1,1.61666666666667,0.1,0.1,0.1
"ENSG00000172497","ACOT12",0.1,0.1,0.1,0.1,0.1
"ENSG00000112304","ACOT13",5.1,8.025,2.38,4.23333333333333,1.55
"ENSG00000119673","ACOT2",4.3,3.61666666666667,0.66,0.533333333333333,0.7
"ENSG00000177465","ACOT4",0.8,0.683333333333333,0.12,0.1,0.1
"ENSG00000205669","ACOT6",0.3,1.2,0.16,0.1,0.1
"ENSG00000097021","ACOT7",4.4,0.625,1.02,0.133333333333333,1.1
"ENSG00000101473","ACOT8",0.1,0.266666666666667,0.16,0.133333333333333,0.4
"ENSG00000123130","ACOT9",2.8,3.025,1.56,10.3666666666667,1
"ENSG00000161533","ACOX1",3.6,12.8166666666667,2.64,2.56666666666667,1.6
"ENSG00000168306","ACOX2",0.2,1.88333333333333,0.1,0.1,0.3
"ENSG00000087008","ACOX3",0.5,1.13333333333333,0.38,0.366666666666667,0.6
"ENSG00000153093","ACOXL",0.1,0.1,0.1,0.1,0.1
"ENSG00000143727","ACP1",23.7,9.91666666666667,12.78,8.83333333333333,3.5
"ENSG00000134575","ACP2",1.8,1.05833333333333,0.32,0.533333333333333,0.45
"ENSG00000102575","ACP5",0.1,0.116666666666667,0.1,0.1,0.1
"ENSG00000162836","ACP6",1.2,3.38333333333333,0.68,0.733333333333333,1.1
"ENSG00000014257","ACPP",0.3,0.166666666666667,0.4,2.6,0.1
"ENSG00000142513","ACPT",0.1,0.1,0.1,0.1,0.1
"ENSG00000100312","ACR",0.1,0.1,0.1,0.1,0.15
"ENSG00000111644","ACRBP",0.1,0.141666666666667,0.24,0.633333333333333,0.1
"ENSG00000147174","ACRC",0.8,0.3,0.42,0.833333333333333,0.1
"ENSG00000134940","ACRV1",1.2,0.108333333333333,0.16,0.1,0.1
"ENSG00000103740","ACSBG1",1.2,19.5666666666667,0.6,0.1,0.3
"ENSG00000130377","ACSBG2",0.1,0.133333333333333,0.1,0.1,0.1
"ENSG00000167107","ACSF2",0.1,2.25,0.26,0.933333333333333,0.3
"ENSG00000176715","ACSF3",0.1,0.166666666666667,0.1,0.1,0.2
"ENSG00000151726","ACSL1",3.6,1.3,10.98,23.6333333333333,0.3
"ENSG00000123983","ACSL3",22.1,23.2666666666667,10.46,10,10.3
"ENSG00000068366","ACSL4",9.6,1.26666666666667,3.14,10.3333333333333,1.25
"ENSG00000197142","ACSL5",0.3,0.158333333333333,0.42,4.5,9.2
"ENSG00000164398","ACSL6",14.6,37.3833333333333,1.96,0.133333333333333,0.85
"ENSG00000166743","ACSM1",0.1,0.1,0.1,0.1,0.1
"ENSG00000183747","ACSM2A",0.1,0.1,0.1,0.1,0.1
"ENSG00000066813","ACSM2B",0.1,0.1,0.1,0.1,0.1
"ENSG00000005187","ACSM3",0.1,0.1,0.1,0.1,0.1
"ENSG00000215009","ACSM4",0.1,0.1,0.1,0.1,0.1
"ENSG00000183549","ACSM5",0.1,0.491666666666667,0.24,4.2,0.1
"ENSG00000154930","ACSS1",0.2,12.6083333333333,0.82,0.9,0.55
"ENSG00000131069","ACSS2",1,1.775,2.72,1.53333333333333,1.15
"ENSG00000111058","ACSS3",0.8,7.38333333333333,0.18,0.1,0.55
"ENSG00000143632","ACTA1",0.2,0.108333333333333,0.1,0.1,0.1
"ENSG00000107796","ACTA2",2.5,2.71666666666667,0.5,1.56666666666667,11.5
"ENSG00000075624","ACTB",206.5,211.016666666667,338.84,664.466666666667,148
"ENSG00000169067","ACTBL2",0.2,0.1,0.1,0.1,0.1
"ENSG00000159251","ACTC1",1,0.1,0.24,0.1,0.1
"ENSG00000184009","ACTG1",110.5,81.8666666666667,78.98,93.8,25.3
"ENSG00000163017","ACTG2",0.1,0.125,0.1,0.1,1.1
"ENSG00000182584","ACTL10",0.1,0.116666666666667,0.1,0.1,0.1
"ENSG00000136518","ACTL6A",0.8,2.94166666666667,5.54,4.1,0.95
"ENSG00000077080","ACTL6B",0.1,0.108333333333333,0.1,0.1,0.3
"ENSG00000187003","ACTL7A",0.1,0.1,0.1,0.1,0.1
"ENSG00000148156","ACTL7B",0.1,0.1,0.1,0.1,0.1
"ENSG00000117148","ACTL8",0.1,0.1,0.1,0.1,0.1
"ENSG00000181786","ACTL9",0.1,0.1,0.1,0.1,0.1
"ENSG00000072110","ACTN1",2.2,0.566666666666667,0.14,0.133333333333333,1.75
"ENSG00000077522","ACTN2",1.3,0.133333333333333,0.52,0.1,0.95
"ENSG00000248746","ACTN3",0.1,0.1,0.1,0.1,0.1
"ENSG00000130402","ACTN4",0.3,1.1,1.56,0.8,11.45
"ENSG00000131966","ACTR10",12.1,6.05833333333333,5.96,1.73333333333333,3.2
"ENSG00000138107","ACTR1A",5.6,7.09166666666667,4.68,3.4,4.5
"ENSG00000115073","ACTR1B",3.4,2.74166666666667,1.82,1.26666666666667,5.05
"ENSG00000138071","ACTR2",31.9,16.6416666666667,21.94,52.1,6.5
"ENSG00000115091","ACTR3",15.1,10.2833333333333,16.28,37.4,5.95
"ENSG00000133627","ACTR3B",6.9,1.93333333333333,1.98,0.333333333333333,3.05
"ENSG00000280263","ACTR3BP2",0.1,0.1,0.1,0.1,0.1
"ENSG00000227264","ACTR3BP5",0.1,0.1,0.1,0.1,0.1
"ENSG00000106526","ACTR3C",1.1,0.366666666666667,0.1,0.166666666666667,0.3
"ENSG00000101442","ACTR5",1.7,0.441666666666667,0.74,0.5,0.35
"ENSG00000075089","ACTR6",6.5,2.2,4.58,1.63333333333333,1.15
"ENSG00000113812","ACTR8",4.1,2.95,2.28,2.06666666666667,0.45
"ENSG00000123165","ACTRT1",0.1,0.1,0.1,0.133333333333333,0.1
"ENSG00000169717","ACTRT2",0.1,0.1,0.1,0.1,0.1
"ENSG00000115170","ACVR1",3.5,2.975,1.62,2.1,10.55
"ENSG00000135503","ACVR1B",6,3.14166666666667,1.78,1.66666666666667,0.95
"ENSG00000123612","ACVR1C",1.1,0.633333333333333,1.54,0.1,0.1
"ENSG00000121989","ACVR2A",5.3,1.73333333333333,2.12,1.03333333333333,0.95
"ENSG00000114739","ACVR2B",1.6,1.51666666666667,1.3,0.333333333333333,0.45
"ENSG00000139567","ACVRL1",0.1,0.1,0.1,0.1,2.6
"ENSG00000243989","ACY1",0.4,1.775,0.26,0.466666666666667,1.1
"ENSG00000132744","ACY3",0.1,0.133333333333333,0.16,4.2,0.25
"ENSG00000119640","ACYP1",36.4,3.88333333333333,6.54,1.8,3.4
"ENSG00000170634","ACYP2",18.7,18.675,12.18,1.2,3.25
"ENSG00000196839","ADA",0.9,1.95,1.5,0.1,0.35
"ENSG00000164113","ADAD1",0.1,0.1,0.1,0.1,0.1
"ENSG00000140955","ADAD2",0.1,0.1,0.1,0.1,0.1
"ENSG00000168803","ADAL",2.7,4.025,2,1.13333333333333,0.9
"ENSG00000137845","ADAM10",9.1,7.43333333333333,15.58,22.5666666666667,6.3
"ENSG00000073670","ADAM11",0.1,0.125,0.1,0.1,0.1
"ENSG00000148848","ADAM12",0.2,0.275,0.34,0.1,0.1
"ENSG00000143537","ADAM15",0.1,0.316666666666667,0.1,0.133333333333333,1
"ENSG00000151694","ADAM17",4.4,4.575,4.4,20.4666666666667,3
"ENSG00000168619","ADAM18",0.1,0.1,0.1,0.1,0.1
"ENSG00000135074","ADAM19",0.3,0.1,0.4,0.1,0.1
"ENSG00000104755","ADAM2",0.1,0.1,0.1,0.1,0.1
"ENSG00000134007","ADAM20",0.2,0.308333333333333,0.16,0.1,0.1
"ENSG00000139985","ADAM21",1.4,0.716666666666667,0.12,0.1,0.1
"ENSG00000235812","ADAM21P1",0.1,0.15,0.1,0.1,0.1
"ENSG00000008277","ADAM22",25.6,2.55,5.04,0.466666666666667,0.55
"ENSG00000114948","ADAM23",6.7,0.991666666666667,1.42,0.1,0.3
"ENSG00000042980","ADAM28",0.4,0.525,3.6,61.4333333333333,0.1
"ENSG00000168594","ADAM29",0.1,0.1,0.1,0.1,0.1
"ENSG00000134249","ADAM30",0.1,0.1,0.1,0.1,0.1
"ENSG00000275594","ADAM32",1.1,0.508333333333333,1.08,0.2,0.55
"ENSG00000149451","ADAM33",0.8,0.525,0.1,0.1,0.55
"ENSG00000197475","ADAM3A",0.1,0.1,0.1,0.1,0.1
"ENSG00000271968","ADAM6",0.1,0.1,0.1,0.1,0.1
"ENSG00000069206","ADAM7",0.1,0.1,0.1,0.1,0.1
"ENSG00000151651","ADAM8",0.1,0.1,0.1,0.1,0.1
"ENSG00000168615","ADAM9",6.5,5.41666666666667,7.34,27.6333333333333,1.8
"ENSG00000134028","ADAMDEC1",0.1,0.1,0.1,0.1,0.1
"ENSG00000154734","ADAMTS1",3.5,0.866666666666667,9.68,0.133333333333333,3.05
"ENSG00000142303","ADAMTS10",0.1,0.133333333333333,0.1,0.1,0.1
"ENSG00000281690","ADAMTS12",0.1,0.1,0.1,0.1,0.1
"ENSG00000160323","ADAMTS13",0.1,0.133333333333333,0.1,0.1,0.1
"ENSG00000138316","ADAMTS14",0.1,0.1,0.1,0.1,0.1
"ENSG00000166106","ADAMTS15",0.1,0.1,0.1,0.1,0.1
"ENSG00000145536","ADAMTS16",0.1,0.1,0.1,0.1,0.1
"ENSG00000140470","ADAMTS17",0.1,0.733333333333333,0.3,0.2,0.1
"ENSG00000140873","ADAMTS18",0.1,0.125,0.52,0.1,0.1
"ENSG00000145808","ADAMTS19",0.5,0.133333333333333,0.18,0.1,0.2
"ENSG00000087116","ADAMTS2",0.1,0.1,0.12,0.1,0.1
"ENSG00000173157","ADAMTS20",0.1,0.1,0.1,0.1,0.1
"ENSG00000156140","ADAMTS3",0.3,0.116666666666667,0.1,0.1,0.1
"ENSG00000158859","ADAMTS4",0.2,0.15,3.02,3.76666666666667,0.55
"ENSG00000154736","ADAMTS5",0.3,0.1,0.16,0.1,0.1
"ENSG00000049192","ADAMTS6",1.9,0.1,0.24,0.1,0.2
"ENSG00000136378","ADAMTS7",0.1,0.1,0.1,0.1,0.1
"ENSG00000134917","ADAMTS8",0.3,0.116666666666667,0.46,0.1,1.2
"ENSG00000163638","ADAMTS9",0.8,0.391666666666667,0.3,0.1,0.25
"ENSG00000241684","ADAMTS9-AS2",0.9,0.141666666666667,0.1,0.1,0.75
"ENSG00000178031","ADAMTSL1",0.4,0.1,0.1,0.1,0.1
"ENSG00000197859","ADAMTSL2",0.1,0.1,0.1,0.1,0.1
"ENSG00000156218","ADAMTSL3",0.8,0.108333333333333,0.44,0.1,0.2
"ENSG00000143382","ADAMTSL4",0.1,0.133333333333333,0.12,0.566666666666667,0.1
"ENSG00000185761","ADAMTSL5",0.2,0.6,0.1,0.1,0.1
"ENSG00000105963","ADAP1",0.1,0.1,0.1,0.1,0.1
"ENSG00000184060","ADAP2",0.1,0.266666666666667,0.5,9.43333333333333,0.45
"ENSG00000160710","ADAR",15.3,9.56666666666667,7.4,9.8,9.35
"ENSG00000197381","ADARB1",4.7,0.633333333333333,0.4,0.566666666666667,0.65
"ENSG00000185736","ADARB2",6.4,0.641666666666667,2.04,0.1,0.2
"ENSG00000205696","ADARB2-AS1",0.1,0.1,0.52,0.1,0.1
"ENSG00000065457","ADAT1",1.2,0.833333333333333,0.82,1.16666666666667,0.45
"ENSG00000189007","ADAT2",0.6,0.333333333333333,0.18,0.566666666666667,0.1
"ENSG00000213638","ADAT3",0.1,0.1,0.1,0.1,0.1
"ENSG00000063761","ADCK1",2.4,0.766666666666667,0.7,0.933333333333333,0.5
"ENSG00000133597","ADCK2",1.5,0.591666666666667,0.92,2.06666666666667,0.25
"ENSG00000163050","ADCK3",1.1,0.991666666666667,0.9,0.5,0.45
"ENSG00000123815","ADCK4",0.1,0.191666666666667,0.1,0.1,0.1
"ENSG00000173137","ADCK5",0.1,0.1,0.1,0.1,0.1
"ENSG00000164742","ADCY1",3.5,0.208333333333333,0.58,0.1,0.95
"ENSG00000143199","ADCY10",0.1,0.1,0.1,0.1,0.1
"ENSG00000078295","ADCY2",14.5,18.7583333333333,0.94,0.1,0.85
"ENSG00000138031","ADCY3",1,1.25833333333333,0.56,0.7,0.8
"ENSG00000129467","ADCY4",0.1,0.1,0.1,0.1,1.75
"ENSG00000173175","ADCY5",1,0.258333333333333,1.02,0.1,0.4
"ENSG00000174233","ADCY6",0.6,0.458333333333333,0.34,0.166666666666667,0.6
"ENSG00000121281","ADCY7",0.4,0.358333333333333,0.8,6.73333333333333,0.15
"ENSG00000155897","ADCY8",1.4,3.775,0.86,0.1,0.1
"ENSG00000162104","ADCY9",0.3,1.06666666666667,0.24,0.166666666666667,0.5
"ENSG00000141433","ADCYAP1",1.1,0.108333333333333,0.16,0.1,0.1
"ENSG00000078549","ADCYAP1R1",13.5,30.7333333333333,1.52,0.166666666666667,0.85
"ENSG00000087274","ADD1",5.5,16.0166666666667,6.92,3.53333333333333,6.05
"ENSG00000075340","ADD2",13.5,0.283333333333333,0.96,0.2,1.3
"ENSG00000148700","ADD3",19.9,111.075,40.6,2.1,5.15
"ENSG00000118492","ADGB",0.1,0.1,0.1,0.1,0.1
"ENSG00000187758","ADH1A",0.1,0.1,0.1,0.1,0.1
"ENSG00000196616","ADH1B",0.1,0.1,0.1,0.1,0.6
"ENSG00000248144","ADH1C",0.1,0.1,0.1,0.1,0.1
"ENSG00000198099","ADH4",0.1,0.15,0.1,0.1,0.1
"ENSG00000197894","ADH5",10.1,22.7416666666667,7.74,5.86666666666667,3.85
"ENSG00000172955","ADH6",0.1,0.141666666666667,0.1,0.1,0.1
"ENSG00000196344","ADH7",0.1,0.1,0.1,0.1,0.1
"ENSG00000147576","ADHFE1",1.1,12.6666666666667,1.82,0.866666666666667,0.8
"ENSG00000280830","ADI1",9.3,20.7583333333333,9.28,6.26666666666667,3.9
"ENSG00000182035","ADIG",0.1,0.108333333333333,0.1,0.1,0.1
"ENSG00000181092","ADIPOQ",0.1,0.1,0.1,0.1,0.1
"ENSG00000159346","ADIPOR1",8.3,15.9,9.06,11.9666666666667,13.05
"ENSG00000006831","ADIPOR2",2.8,3.79166666666667,13.8,4.46666666666667,5.95
"ENSG00000156110","ADK",11.3,7.725,4.62,5.46666666666667,3.45
"ENSG00000148926","ADM",1.5,4.85,0.44,4.76666666666667,19.3
"ENSG00000128165","ADM2",0.1,0.1,0.1,0.1,0.1
"ENSG00000101126","ADNP",15.5,12.3333333333333,9.58,13.0333333333333,2.95
"ENSG00000101544","ADNP2",2.8,2.83333333333333,2.62,4.5,0.95
"ENSG00000181915","ADO",4.1,1.68333333333333,4.28,7.13333333333333,0.5
"ENSG00000163485","ADORA1",0.1,1.41666666666667,0.72,0.1,0.25
"ENSG00000128271","ADORA2A",0.1,0.1,0.1,0.166666666666667,2.1
"ENSG00000170425","ADORA2B",1.4,13.6,0.22,0.233333333333333,0.9
"ENSG00000282608","ADORA3",1.2,2.45,20.78,149.766666666667,0.65
"ENSG00000159322","ADPGK",1.8,2.3,2,11.1,1.3
"ENSG00000144843","ADPRH",0.3,0.183333333333333,0.74,10.3,1.4
"ENSG00000153531","ADPRHL1",0.3,0.241666666666667,0.1,0.1,0.1
"ENSG00000116863","ADPRHL2",0.3,0.758333333333333,1.18,1.03333333333333,0.35
"ENSG00000120907","ADRA1A",2.4,1.45833333333333,0.26,0.1,0.15
"ENSG00000170214","ADRA1B",1.5,0.408333333333333,0.1,0.1,0.15
"ENSG00000171873","ADRA1D",0.5,0.108333333333333,0.1,0.1,0.1
"ENSG00000150594","ADRA2A",3.8,0.491666666666667,0.1,0.1,0.2
"ENSG00000274286","ADRA2B",0.1,0.1,0.12,0.1,0.1
